Multidisease classifications (n),Exact probability
22,6.996868476852014e-100
23,6.361070066948117e-96
24,1.8649314405564418e-92
25,2.7650390572765502e-89
26,2.5102486258856668e-86
27,1.5500916894448149e-83
28,6.956204991213497e-81
29,2.3743166424862256e-78
30,6.372785614483408e-76
31,1.3798327180580014e-73
32,2.4592936781810177e-71
33,3.667960292652294e-69
34,4.640923243976048e-67
35,5.039250248853744e-65
36,4.742517732548248e-63
37,3.901780851789545e-61
38,2.827450700485114e-59
39,1.8167408562251486e-57
40,1.0411847078407316e-55
41,5.350617666474791e-54
42,2.4774163986960417e-52
43,1.0379964320338152e-50
44,3.95101516352075e-49
45,1.3712125081480213e-47
46,4.3533378018348784e-46
47,1.2681948393531151e-44
48,3.399531588830316e-43
49,8.40727121929926e-42
50,1.9228552599726313e-40
51,4.076371474833436e-39
52,8.02695821350468e-38
53,1.4710699880503484e-36
54,2.5137474853072844e-35
55,4.012060445399196e-34
56,5.990693809592014e-33
57,8.381378774435256e-32
58,1.1002951030313588e-30
59,1.357218334646866e-29
60,1.5750558956928996e-28
61,1.7217759730235717e-27
62,1.7749756758002947e-26
63,1.7274991492007203e-25
64,1.5889243181323598e-24
65,1.3825347514534743e-23
66,1.1390496670827199e-22
67,8.893841608242038e-22
68,6.58694306513564e-21
69,4.631016242750478e-20
70,3.0931438033130855e-19
71,1.964143727126003e-18
72,1.1865853082509015e-17
73,6.824431788237783e-17
74,3.7389697697763093e-16
75,1.9526254405071902e-15
76,9.725663070404258e-15
77,4.6226741131093936e-14
78,2.0978329418550027e-13
79,9.094350220422572e-13
80,3.767952884892244e-12
81,1.4927011009820027e-11
82,5.656731482678106e-11
83,2.051477874508185e-10
84,7.12281715930852e-10
85,2.3685784861617267e-09
86,7.546310325136445e-09
87,2.3043324404048792e-08
88,6.746289850197444e-08
89,1.8942330143871195e-07
90,5.102501014952129e-07
91,1.3189874498877938e-06
92,3.2728544861698143e-06
93,7.797511667333738e-06
94,1.7841769285520323e-05
95,3.9217164037367986e-05
96,8.282651823830997e-05
97,0.00016811677522634926
98,0.00032801191910195585
99,0.0006153026648690863
100,0.0011099093659356718
101,0.0019255736537943306
102,0.0032134866732213044
103,0.005159434067225255
104,0.007970727431397576
105,0.011850074328163674
106,0.01695602910123818
107,0.023353707665557083
108,0.030964262895762436
109,0.03952569437249667
110,0.04857902922323555
111,0.05749122149354838
112,0.06551889873352498
113,0.07190666371935785
114,0.07600296573503448
115,0.07736924646422844
116,0.07585713524433899
117,0.07163492522209308
118,0.06515680801158662
119,0.057082627971126176
120,0.04816771906235791
121,0.039148144620022626
122,0.03064506085398766
123,0.02310422431196081
124,0.01677596233787266
125,0.0117308179106672
126,0.007899319260098157
127,0.005122043926492085
128,0.0031978411425355032
129,0.001922179850307194
130,0.0011122799807170701
131,0.000619544281870841
132,0.0003321387495116103
133,0.0001713570980489992
134,8.506714869384363e-05
135,4.0628997018021024e-05
136,1.866625666594802e-05
137,8.24807949250157e-06
138,3.5046564159544025e-06
139,1.4317012682248323e-06
140,5.62193373282958e-07
141,2.121543099284524e-07
142,7.692217923965358e-08
143,2.6790432539306072e-08
144,8.960350559344895e-09
145,2.8771979173892085e-09
146,8.867263989067724e-10
147,2.622125703851969e-10
148,7.437431124478956e-11
149,2.0227960016094443e-11
150,5.273356686592374e-12
151,1.3172438365562133e-12
152,3.151509289300557e-13
153,7.218796208970787e-14
154,1.5823976574784827e-14
155,3.3179667619970526e-15
156,6.651572627729314e-16
157,1.2742416330579358e-16
158,2.3314273312833388e-17
159,4.0718303598803165e-18
160,6.78417516276425e-19
161,1.0776355497040213e-19
162,1.6308997870469212e-20
163,2.3499593425006062e-21
164,3.2214503364543464e-22
165,4.198197153880345e-23
166,5.196817861140191e-24
167,6.105169563337893e-25
168,6.800543296199564e-26
169,7.175485787888784e-27
170,7.164258264013861e-28
171,6.761233836415941e-29
172,6.0243183949336615e-30
173,5.061472279891682e-31
174,4.0045801216620825e-32
175,2.9794336936223686e-33
176,2.0813740939701645e-34
177,1.363022059145947e-35
178,8.352905027373059e-37
179,4.781271968009475e-38
180,2.5512186101733857e-39
181,1.266217165848755e-40
182,5.831845269616047e-42
183,2.4861990626130034e-43
184,9.783538562527994e-45
185,3.543031093778806e-46
186,1.1768949813466726e-47
187,3.5727905315256485e-49
188,9.8729168576874e-51
189,2.4724348568043802e-52
190,5.583425142485922e-54
191,1.1307635751584217e-55
192,2.040956429393225e-57
193,3.2600138888087306e-59
194,4.57113136982388e-61
195,5.574486681203881e-63
196,5.848650147452548e-65
197,5.2122935602767644e-67
198,3.885958308741702e-69
199,2.3791348470835023e-71
200,1.1690539875182136e-73
201,4.478401099017803e-76
202,1.2876457507576124e-78
203,2.6390767288813196e-81
204,3.580653612300877e-84
205,2.867205784600755e-87
206,1.1063707189304666e-90
207,1.2961354378286276e-94
