normalized_accession_or_line_id,canonical_identity_key,identity_basis,reported_label_variants,recurrence_pattern,qualifying_evidence_set_n,qualifying_evidence_set_ids,disease_categories,same_disease_recurrence_categories,qualifying_source_n,source_ids,source_citation_keys,source_citations,source_urls,source_doi_or_repository_ids,source_redistribution_statuses,source_provenance_statuses
ETSL 100016,line:etsl_100016,reviewed_exact_line_identity,ETSL 100016 | ETSL_100016,cross_disease_only,2,experiment:ethiopian_field_anthracnose_multisite | experiment:ref_girma_ethiopian_head_smut_2019,anthracnose | head_smut,,2,ethiopian_field_anthracnose_multisite | ref_girma_ethiopian_head_smut_2019,Birhanu et al. 2024 | Girma et al. 2019,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2 || Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2 | https://doi.org/10.3389/fpls.2019.00691,10.1186/s12864-024-10545-2 | 10.3389/fpls.2019.00691|10.4231/PYQV-AT79,permitted | permitted,verified:verified_cc_by_4_0:permitted | verified:verified_cc_by_3_0:permitted
ETSL 100063,line:etsl_100063,reviewed_exact_line_identity,ETSL 100063 | ETSL_100063,cross_disease_only,2,experiment:ethiopian_field_anthracnose_multisite | experiment:ref_girma_ethiopian_head_smut_2019,anthracnose | head_smut,,2,ethiopian_field_anthracnose_multisite | ref_girma_ethiopian_head_smut_2019,Birhanu et al. 2024 | Girma et al. 2019,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2 || Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2 | https://doi.org/10.3389/fpls.2019.00691,10.1186/s12864-024-10545-2 | 10.3389/fpls.2019.00691|10.4231/PYQV-AT79,permitted | permitted,verified:verified_cc_by_4_0:permitted | verified:verified_cc_by_3_0:permitted
ETSL 100064,line:etsl_100064,reviewed_exact_line_identity,ETSL 100064 | ETSL_100064,cross_disease_only,2,experiment:ethiopian_field_anthracnose_multisite | experiment:ref_girma_ethiopian_head_smut_2019,anthracnose | head_smut,,2,ethiopian_field_anthracnose_multisite | ref_girma_ethiopian_head_smut_2019,Birhanu et al. 2024 | Girma et al. 2019,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2 || Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2 | https://doi.org/10.3389/fpls.2019.00691,10.1186/s12864-024-10545-2 | 10.3389/fpls.2019.00691|10.4231/PYQV-AT79,permitted | permitted,verified:verified_cc_by_4_0:permitted | verified:verified_cc_by_3_0:permitted
ETSL 100169,line:etsl_100169,reviewed_exact_line_identity,ETSL 100169 | ETSL_100169,cross_disease_only,2,experiment:ethiopian_field_anthracnose_multisite | experiment:ref_girma_ethiopian_head_smut_2019,anthracnose | head_smut,,2,ethiopian_field_anthracnose_multisite | ref_girma_ethiopian_head_smut_2019,Birhanu et al. 2024 | Girma et al. 2019,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2 || Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2 | https://doi.org/10.3389/fpls.2019.00691,10.1186/s12864-024-10545-2 | 10.3389/fpls.2019.00691|10.4231/PYQV-AT79,permitted | permitted,verified:verified_cc_by_4_0:permitted | verified:verified_cc_by_3_0:permitted
ETSL 100246,line:etsl_100246,reviewed_exact_line_identity,ETSL 100246 | ETSL_100246,cross_disease_only,2,experiment:ethiopian_field_anthracnose_multisite | experiment:ref_girma_ethiopian_head_smut_2019,anthracnose | head_smut,,2,ethiopian_field_anthracnose_multisite | ref_girma_ethiopian_head_smut_2019,Birhanu et al. 2024 | Girma et al. 2019,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2 || Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2 | https://doi.org/10.3389/fpls.2019.00691,10.1186/s12864-024-10545-2 | 10.3389/fpls.2019.00691|10.4231/PYQV-AT79,permitted | permitted,verified:verified_cc_by_4_0:permitted | verified:verified_cc_by_3_0:permitted
ETSL 100249,line:etsl_100249,reviewed_exact_line_identity,ETSL 100249 | ETSL_100249,cross_disease_only,2,experiment:ethiopian_field_anthracnose_multisite | experiment:ref_girma_ethiopian_head_smut_2019,anthracnose | head_smut,,2,ethiopian_field_anthracnose_multisite | ref_girma_ethiopian_head_smut_2019,Birhanu et al. 2024 | Girma et al. 2019,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2 || Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2 | https://doi.org/10.3389/fpls.2019.00691,10.1186/s12864-024-10545-2 | 10.3389/fpls.2019.00691|10.4231/PYQV-AT79,permitted | permitted,verified:verified_cc_by_4_0:permitted | verified:verified_cc_by_3_0:permitted
ETSL 100252,line:etsl_100252,reviewed_exact_line_identity,ETSL 100252,cross_disease_only,2,experiment:ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024 | experiment:ref_girma_ethiopian_head_smut_2019,anthracnose | head_smut,,2,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024 | ref_girma_ethiopian_head_smut_2019,Aragaw and Terefe 2024 | Girma et al. 2019,Aragaw and Terefe (2024). Response of sorghum genotypes to anthracnose (Colletotrichum sublineolum) resistance under field conditions in eastern Ethiopia. PLOS ONE 19:e0316016. https://doi.org/10.1371/journal.pone.0316016 || Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1371/journal.pone.0316016 | https://doi.org/10.3389/fpls.2019.00691,10.1371/journal.pone.0316016 | 10.3389/fpls.2019.00691|10.4231/PYQV-AT79,permitted | permitted,verified:verified_cc_by_4_0:permitted | verified:verified_cc_by_3_0:permitted
ETSL 100267,line:etsl_100267,reviewed_exact_line_identity,ETSL 100267 | ETSL_100267,cross_disease_only,2,experiment:ethiopian_field_anthracnose_multisite | experiment:ref_girma_ethiopian_head_smut_2019,anthracnose | head_smut,,2,ethiopian_field_anthracnose_multisite | ref_girma_ethiopian_head_smut_2019,Birhanu et al. 2024 | Girma et al. 2019,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2 || Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2 | https://doi.org/10.3389/fpls.2019.00691,10.1186/s12864-024-10545-2 | 10.3389/fpls.2019.00691|10.4231/PYQV-AT79,permitted | permitted,verified:verified_cc_by_4_0:permitted | verified:verified_cc_by_3_0:permitted
ETSL 100309,line:etsl_100309,reviewed_exact_line_identity,ETSL 100309,cross_disease_only,2,experiment:ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024 | experiment:ref_girma_ethiopian_head_smut_2019,anthracnose | head_smut,,2,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024 | ref_girma_ethiopian_head_smut_2019,Aragaw and Terefe 2024 | Girma et al. 2019,Aragaw and Terefe (2024). Response of sorghum genotypes to anthracnose (Colletotrichum sublineolum) resistance under field conditions in eastern Ethiopia. PLOS ONE 19:e0316016. https://doi.org/10.1371/journal.pone.0316016 || Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1371/journal.pone.0316016 | https://doi.org/10.3389/fpls.2019.00691,10.1371/journal.pone.0316016 | 10.3389/fpls.2019.00691|10.4231/PYQV-AT79,permitted | permitted,verified:verified_cc_by_4_0:permitted | verified:verified_cc_by_3_0:permitted
ETSL 100438,line:etsl_100438,reviewed_exact_line_identity,ETSL 100438 | ETSL_100438,cross_disease_only,2,experiment:ethiopian_field_anthracnose_multisite | experiment:ref_girma_ethiopian_head_smut_2019,anthracnose | head_smut,,2,ethiopian_field_anthracnose_multisite | ref_girma_ethiopian_head_smut_2019,Birhanu et al. 2024 | Girma et al. 2019,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2 || Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2 | https://doi.org/10.3389/fpls.2019.00691,10.1186/s12864-024-10545-2 | 10.3389/fpls.2019.00691|10.4231/PYQV-AT79,permitted | permitted,verified:verified_cc_by_4_0:permitted | verified:verified_cc_by_3_0:permitted
