Permutation,Candidates identified once (n),Candidates identified repeatedly (n),Proportion identified repeatedly
1,509,139,0.21450617283950618
2,504,138,0.21495327102803738
3,522,131,0.2006125574272588
4,498,138,0.2169811320754717
5,495,138,0.21800947867298578
6,493,145,0.22727272727272727
7,506,136,0.2118380062305296
8,489,141,0.22380952380952382
9,504,136,0.2125
10,475,157,0.24841772151898733
11,500,136,0.2138364779874214
12,502,134,0.21069182389937108
13,525,126,0.1935483870967742
14,501,136,0.21350078492935637
15,495,145,0.2265625
16,497,133,0.2111111111111111
17,487,141,0.22452229299363058
18,514,141,0.2152671755725191
19,504,140,0.21739130434782608
20,516,136,0.2085889570552147
21,511,141,0.21625766871165644
22,495,146,0.22776911076443057
23,522,136,0.2066869300911854
24,496,136,0.21518987341772153
25,474,152,0.24281150159744408
26,547,120,0.17991004497751126
27,502,136,0.21316614420062696
28,489,145,0.22870662460567823
29,483,154,0.24175824175824176
30,498,139,0.21821036106750394
31,517,133,0.20461538461538462
32,520,125,0.1937984496124031
33,517,139,0.21189024390243902
34,505,139,0.21583850931677018
35,530,126,0.19207317073170732
36,509,140,0.21571648690292758
37,511,132,0.2052877138413686
38,530,120,0.18461538461538463
39,511,139,0.21384615384615385
40,501,137,0.21473354231974923
41,492,140,0.22151898734177214
42,488,149,0.23390894819466249
43,515,135,0.2076923076923077
44,502,137,0.21439749608763695
45,514,131,0.20310077519379846
46,521,132,0.20214395099540583
47,509,137,0.21207430340557276
48,525,121,0.1873065015479876
49,498,142,0.221875
50,482,152,0.23974763406940064
51,483,142,0.2272
52,513,134,0.2071097372488408
53,521,130,0.19969278033794163
54,501,128,0.20349761526232116
55,490,153,0.2379471228615863
56,511,143,0.21865443425076453
57,526,130,0.19817073170731708
58,510,130,0.203125
59,512,131,0.20373250388802489
60,493,151,0.234472049689441
61,496,142,0.2225705329153605
62,499,139,0.21786833855799373
63,508,134,0.2087227414330218
64,490,147,0.23076923076923078
65,524,130,0.19877675840978593
66,534,132,0.1981981981981982
67,497,134,0.21236133122028525
68,484,157,0.24492979719188768
69,512,129,0.20124804992199688
70,503,138,0.21528861154446177
71,514,129,0.2006220839813375
72,514,135,0.20801232665639446
73,493,145,0.22727272727272727
74,482,149,0.23613312202852615
75,508,142,0.21846153846153846
76,508,135,0.2099533437013997
77,487,142,0.22575516693163752
78,517,133,0.20461538461538462
79,507,142,0.21879815100154082
80,495,141,0.22169811320754718
81,515,138,0.2113323124042879
82,507,128,0.2015748031496063
83,516,133,0.2049306625577812
84,527,127,0.19418960244648317
85,517,139,0.21189024390243902
86,462,155,0.25121555915721233
87,513,136,0.20955315870570107
88,493,147,0.2296875
89,508,137,0.2124031007751938
90,509,143,0.21932515337423314
91,499,139,0.21786833855799373
92,521,133,0.20336391437308868
93,507,136,0.2115085536547434
94,506,140,0.21671826625386997
95,521,136,0.2070015220700152
96,507,140,0.21638330757341576
97,492,140,0.22151898734177214
98,511,138,0.21263482280431434
99,514,135,0.20801232665639446
100,511,137,0.21141975308641975
101,497,139,0.21855345911949686
102,491,147,0.2304075235109718
103,504,141,0.2186046511627907
104,488,147,0.231496062992126
105,521,131,0.200920245398773
106,501,149,0.22923076923076924
107,504,130,0.20504731861198738
108,515,132,0.20401854714064915
109,510,136,0.21052631578947367
110,506,142,0.2191358024691358
111,517,135,0.20705521472392638
112,519,144,0.2171945701357466
113,506,143,0.22033898305084745
114,530,127,0.1933028919330289
115,518,131,0.20184899845916796
116,506,139,0.21550387596899226
117,497,147,0.22826086956521738
118,475,158,0.24960505529225907
119,498,130,0.2070063694267516
120,500,145,0.2248062015503876
121,525,127,0.19478527607361965
122,498,143,0.22308892355694226
123,503,138,0.21528861154446177
124,516,129,0.2
125,507,138,0.21395348837209302
126,498,132,0.20952380952380953
127,505,138,0.21461897356143078
128,491,143,0.22555205047318613
129,518,119,0.18681318681318682
130,493,131,0.20993589743589744
131,509,133,0.2071651090342679
132,514,130,0.20186335403726707
133,489,137,0.21884984025559107
134,507,132,0.20657276995305165
135,493,148,0.23088923556942278
136,511,141,0.21625766871165644
137,503,128,0.20285261489698891
138,488,141,0.22416534181240064
139,501,138,0.215962441314554
140,514,130,0.20186335403726707
141,520,128,0.19753086419753085
142,503,135,0.2115987460815047
143,492,141,0.22274881516587677
144,487,144,0.22820919175911253
145,495,149,0.23136645962732919
146,516,131,0.20247295208655333
147,498,138,0.2169811320754717
148,503,142,0.22015503875968992
149,524,134,0.20364741641337386
150,495,148,0.2301710730948678
151,489,147,0.23113207547169812
152,510,134,0.2080745341614907
153,515,130,0.20155038759689922
154,499,149,0.22993827160493827
155,491,148,0.23161189358372458
156,503,138,0.21528861154446177
157,521,124,0.19224806201550387
158,511,135,0.2089783281733746
159,502,133,0.2094488188976378
160,491,147,0.2304075235109718
161,488,143,0.2266244057052298
162,506,129,0.2031496062992126
163,526,122,0.1882716049382716
164,507,125,0.19778481012658228
165,468,148,0.24025974025974026
166,494,148,0.23052959501557632
167,494,144,0.22570532915360503
