analysis_identity_id,evidence_set_id,candidate_selected
A001300,experiment:barbosa_sete_lagoas_two_nursery_downy_mildew,0
A001404,experiment:barbosa_sete_lagoas_two_nursery_downy_mildew,1
A001551,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001746,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001747,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001748,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001749,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001750,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001751,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001752,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001753,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001754,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001755,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001756,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001757,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001758,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001759,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001760,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001761,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001762,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001763,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001764,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001765,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001766,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001767,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001768,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001769,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001770,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001771,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001772,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001773,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001774,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001775,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001776,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001777,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001778,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001779,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,0
A001780,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001781,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001782,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001783,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001784,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001785,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
A001786,experiment:erpelding_isabela_anthracnose_2007_2008_campaign,1
