normalized_accession_or_line_id,canonical_identity_key,identity_basis,reported_label,evidence_set_id,dataset_id,study_id,candidate_set_id,call_source,disease_categories,source_registry_ids
ETSL 100016,line:etsl_100016,reviewed_exact_line_identity,ETSL_100016,experiment:ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_multisite_anthracnose_all_four_locations_le_2,source_supported_location_resistance_rule,anthracnose,ethiopian_field_anthracnose_multisite
ETSL 100016,line:etsl_100016,reviewed_exact_line_identity,ETSL 100016,experiment:ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,girma_2019_stable_highest_head_smut_class,source_defined_highest_response_class,head_smut,ref_girma_ethiopian_head_smut_2019
ETSL 100063,line:etsl_100063,reviewed_exact_line_identity,ETSL_100063,experiment:ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_multisite_anthracnose_all_four_locations_le_2,source_supported_location_resistance_rule,anthracnose,ethiopian_field_anthracnose_multisite
ETSL 100063,line:etsl_100063,reviewed_exact_line_identity,ETSL 100063,experiment:ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,girma_2019_stable_highest_head_smut_class,source_defined_highest_response_class,head_smut,ref_girma_ethiopian_head_smut_2019
ETSL 100064,line:etsl_100064,reviewed_exact_line_identity,ETSL_100064,experiment:ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_multisite_anthracnose_all_four_locations_le_2,source_supported_location_resistance_rule,anthracnose,ethiopian_field_anthracnose_multisite
ETSL 100064,line:etsl_100064,reviewed_exact_line_identity,ETSL 100064,experiment:ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,girma_2019_stable_highest_head_smut_class,source_defined_highest_response_class,head_smut,ref_girma_ethiopian_head_smut_2019
ETSL 100169,line:etsl_100169,reviewed_exact_line_identity,ETSL_100169,experiment:ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_multisite_anthracnose_all_four_locations_le_2,source_supported_location_resistance_rule,anthracnose,ethiopian_field_anthracnose_multisite
ETSL 100169,line:etsl_100169,reviewed_exact_line_identity,ETSL 100169,experiment:ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,girma_2019_stable_highest_head_smut_class,source_defined_highest_response_class,head_smut,ref_girma_ethiopian_head_smut_2019
ETSL 100246,line:etsl_100246,reviewed_exact_line_identity,ETSL_100246,experiment:ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_multisite_anthracnose_all_four_locations_le_2,source_supported_location_resistance_rule,anthracnose,ethiopian_field_anthracnose_multisite
ETSL 100246,line:etsl_100246,reviewed_exact_line_identity,ETSL 100246,experiment:ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,girma_2019_stable_highest_head_smut_class,source_defined_highest_response_class,head_smut,ref_girma_ethiopian_head_smut_2019
ETSL 100249,line:etsl_100249,reviewed_exact_line_identity,ETSL_100249,experiment:ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_multisite_anthracnose_all_four_locations_le_2,source_supported_location_resistance_rule,anthracnose,ethiopian_field_anthracnose_multisite
ETSL 100249,line:etsl_100249,reviewed_exact_line_identity,ETSL 100249,experiment:ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,girma_2019_stable_highest_head_smut_class,source_defined_highest_response_class,head_smut,ref_girma_ethiopian_head_smut_2019
ETSL 100252,line:etsl_100252,reviewed_exact_line_identity,ETSL 100252,experiment:ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,aragaw_terefe_hirna_eastern_ethiopia_2017_reported_R,source_reported_reaction_class,anthracnose,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024
ETSL 100252,line:etsl_100252,reviewed_exact_line_identity,ETSL 100252,experiment:ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,girma_2019_stable_highest_head_smut_class,source_defined_highest_response_class,head_smut,ref_girma_ethiopian_head_smut_2019
ETSL 100267,line:etsl_100267,reviewed_exact_line_identity,ETSL_100267,experiment:ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_multisite_anthracnose_all_four_locations_le_2,source_supported_location_resistance_rule,anthracnose,ethiopian_field_anthracnose_multisite
ETSL 100267,line:etsl_100267,reviewed_exact_line_identity,ETSL 100267,experiment:ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,girma_2019_stable_highest_head_smut_class,source_defined_highest_response_class,head_smut,ref_girma_ethiopian_head_smut_2019
ETSL 100309,line:etsl_100309,reviewed_exact_line_identity,ETSL 100309,experiment:ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,aragaw_terefe_hirna_eastern_ethiopia_2017_reported_R,source_reported_reaction_class,anthracnose,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024
ETSL 100309,line:etsl_100309,reviewed_exact_line_identity,ETSL 100309,experiment:ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,girma_2019_stable_highest_head_smut_class,source_defined_highest_response_class,head_smut,ref_girma_ethiopian_head_smut_2019
