Pareto analysis identifier,Source dataset identifier,Accessions or lines assessed (n),Accessions or lines on the Pareto front (n),Response measures (n),Diseases examined (n)
pareto_ethiopia_grain_mold_endpoints,prom_ethiopia_grain_mold_2024,328,6,2,1
pareto_mali_2004_anthracnose_seasons,prom_mali_anthracnose_2004,247,211,2,1
pareto_sudan_grain_mold_endpoints,prom_sudan_grain_mold_2024,246,5,2,1
pareto_sweet_anthracnose_locations,prom_sweet_anthracnose_2023,223,27,4,1
pareto_ql3_is18760_ril_field_locations,prom_ql3_is18760_anthracnose_inheritance_2021,210,2,2,1
pareto_senegal_seed_quality,prom_senegal_seed_quality_2018,129,7,3,2
pareto_panelA_three_diseases,panelA_pr_multidisease,108,2,3,3
pareto_sc112_ril_anthracnose_locations,prom_sc112_ril_anthracnose_2020,100,3,4,1
pareto_panelB_leaf_blight_endpoints,panelB_wa_leafblight,99,2,2,1
pareto_uganda_downy_mildew_locations_2016,prom_uganda_downy_mildew_2019,98,1,2,1
pareto_converted_lines_2016_grain_mold_measurements,prom_converted_lines_grain_biodeterioration_2016,59,2,2,1
pareto_sudan_2009_grain_mold_measurements,prom_sudan_grain_mold_sources_2009,59,2,3,1
pareto_sudan_anthracnose_locations,prom_sudan_anthracnose_2020,57,46,3,1
pareto_ethiopia_subset_2022_anthracnose_years,prom_ethiopia_anthracnose_subset_2022,47,29,2,1
pareto_weather_anthracnose_2009_crop_phases,prom_weather_anthracnose_genotypes_2015,45,19,2,1
pareto_china_ergot_final_inoculated_years,prom_china_ergot_2008,40,2,2,1
pareto_four_country_2012_anthracnose_environments,prom_four_country_anthracnose_2012,40,2,3,1
pareto_ethiopia_mali_2013_grain_mold_measurements,prom_ethiopia_mali_fusarium_2013,38,1,3,1
pareto_sap_head_smut_p5_p6_2018,prom_sap_head_smut_p5_p6_2021,38,17,2,1
pareto_accession_anthracnose_grain_mold_2020,prom_accession_anthracnose_grain_mold_2020,33,3,3,2
pareto_nioro_2018_long_smut_grain_mold,prom_us_lines_long_smut_grain_mold_2018,29,3,2,2
pareto_sap_head_smut_p5_p6_2017,prom_sap_head_smut_p5_p6_2021,29,3,2,1
pareto_ethiopia_anthracnose_locations,prom_ethiopia_anthracnose_2019,26,25,4,1
pareto_prom_2026_grain_mold_panicle_and_threshed,prom_agronomic_grain_mold_senegal_2026,24,4,2,1
pareto_bambey_2017_long_smut_grain_mold,prom_lines_long_smut_grain_mold_2017,21,3,2,2
pareto_mozambique_2006_anthracnose_seasons,prom_mozambique_anthracnose_2006,14,12,2,1
