Analysis identifier,Calculation,Number of independent screens containing each accession or line,Independent screens (n),Reliably matched accessions or lines (n),Assessed in at least two independent screens (n),Candidates assessed in one independent screen (n),Observed candidates (n),Observed candidates identified once (n),Observed candidates identified repeatedly (n),Observed proportion identified once,Observed proportion identified repeatedly,Expected candidates (n),Expected candidates identified once (n),Expected candidates identified repeatedly (n),Expected proportion identified once,Expected proportion identified repeatedly,Observed minus expected candidates identified repeatedly (n),Permutations (n),Random seed,Candidates identified once: permutation median (n),Candidates identified once: lower limit of central 95% permutation interval (n),Candidates identified once: upper limit of central 95% permutation interval (n),Candidates identified repeatedly: permutation median (n),Candidates identified repeatedly: lower limit of central 95% permutation interval (n),Candidates identified repeatedly: upper limit of central 95% permutation interval (n),Proportion identified repeatedly: permutation median,Proportion identified repeatedly: lower limit of central 95% permutation interval,Proportion identified repeatedly: upper limit of central 95% permutation interval,Upper-tail empirical P,Two-sided empirical P,Result,Candidate definition for this analysis,Scientific interpretation
all_declared_primary_rules,Primary permutation analysis,At least two,34,3655,1154,1335,612,441,171,0.7205882352941176,0.2794117647058824,642.2519411040231,504.3000969575934,137.9518441464227,0.7852060300366049,0.2147939699633841,33.04815585357733,10000,20260714,504,480,529,138,124,151,0.2147239263803681,0.1914893617021277,0.2380952380952381,9.999000099990002e-05,0.0001999800019998,Repeated identification exceeded the permutation interval,An accession or line met the documented candidate criterion for that independent screen.,"Each permutation preserves the accessions or lines assessed and the candidate count within every independent screen, then randomly selects that number of candidates from the accessions or lines present. The observed proportion identified repeatedly is compared with this distribution."
role_resolved_only,Sensitivity analysis,At least two,31,2293,889,665,420,292,128,0.6952380952380952,0.3047619047619048,447.78588209694,342.9787551417498,104.8071269551901,0.7659436548906186,0.2340563451093812,23.19287304480993,,,,,,,,,,,,,,128 of 420 candidates were identified repeatedly (30.5%).,The documented candidate criterion was applied after excluding accessions or lines whose role in the source study was unclear or unspecified.,Expected counts account for the number of independent screens in which each accession or line was assessed and the candidate count in each screen.
pareto_only,Sensitivity analysis,At least two,20,1630,177,314,106,102,4,0.9622641509433962,0.03773584905660377,106.9888532393311,102.8540134182497,4.134839821081188,0.9613526110815315,0.03864738891846674,-0.1348398210811883,,,,,,,,,,,,,,4 of 106 candidates were identified repeatedly (3.8%).,Accessions or lines on a defined Pareto front.,Expected counts account for the number of independent screens in which each accession or line was assessed and the candidate count in each screen.
multiple_disease_calls_only,Sensitivity analysis,At least two,3,160,0,22,0,0,0,,,0,0,0,,,0,,,,,,,,,,,,,,No candidates could be assessed in at least two independent screens in this restricted analysis.,Source criteria involving more than one disease.,Expected counts account for the number of independent screens in which each accession or line was assessed and the candidate count in each screen.
source_reported_or_supported,Sensitivity analysis,At least two,33,3625,1143,1302,593,461,132,0.7774030354131535,0.2225969645868466,614.7863316532806,509.3605988862706,105.4257327670017,0.8285164660647227,0.1714835339352638,26.57426723299828,,,,,,,,,,,,,,132 of 593 candidates were identified repeatedly (22.3%).,Source-reported or source-supported candidate criteria.,Expected counts account for the number of independent screens in which each accession or line was assessed and the candidate count in each screen.
excluding_girma_head_smut,Sensitivity analysis,At least two,33,2680,895,731,424,296,128,0.6981132075471698,0.3018867924528302,450.781747276742,345.6103802513849,105.1713670253567,0.7666911589461701,0.233308841053829,22.82863297464328,,,,,,,,,,,,,,128 of 424 candidates were identified repeatedly (30.2%).,The documented candidate criteria were applied after excluding the Girma head-smut study.,Expected counts account for the number of independent screens in which each accession or line was assessed and the candidate count in each screen.
unrestricted_sources_only,Sensitivity analysis,At least two,22,2675,808,993,480,346,134,0.7208333333333333,0.2791666666666667,500.9989274816819,393.6707553361635,107.3281721455196,0.7857716528755591,0.2142283471244433,26.67182785448045,,,,,,,,,,,,,,134 of 480 candidates were identified repeatedly (27.9%).,The documented candidate criterion was applied only to sources that permitted sharing results for individual accessions or lines.,Expected counts account for the number of independent screens in which each accession or line was assessed and the candidate count in each screen.
all_declared_primary_rules_opportunity_2,Results by number of independent screens,2,34,3655,851,1335,358,278,80,0.776536312849162,0.223463687150838,384.8708142684922,324.0926530496939,60.77816121880174,0.842081657102743,0.157918342897266,19.22183878119825,,,,,,,,,,,,,,80 of 358 candidates were identified repeatedly (22.3%).,An accession or line met the documented candidate criterion for that independent screen.,Accessions or lines assessed in exactly 2 independent screens.
all_declared_primary_rules_opportunity_3,Results by number of independent screens,3,34,3655,261,1335,219,154,65,0.7031963470319634,0.2968036529680365,220.1550572861448,167.0741635547207,53.0808937314241,0.7588931438334727,0.2411068561665274,11.9191062685759,,,,,,,,,,,,,,65 of 219 candidates were identified repeatedly (29.7%).,An accession or line met the documented candidate criterion for that independent screen.,Accessions or lines assessed in exactly 3 independent screens.
all_declared_primary_rules_opportunity_4,Results by number of independent screens,4,34,3655,33,1335,27,8,19,0.2962962962962963,0.7037037037037037,28.75821782488123,10.21840080081478,18.53981702406647,0.3553210725031072,0.644678927496893,0.4601829759335345,,,,,,,,,,,,,,19 of 27 candidates were identified repeatedly (70.4%).,An accession or line met the documented candidate criterion for that independent screen.,Accessions or lines assessed in exactly 4 independent screens.
all_declared_primary_rules_opportunity_5,Results by number of independent screens,5,34,3655,9,1335,8,1,7,0.125,0.875,8.467851724497356,2.914879552366338,5.552972172131019,0.3442289316348844,0.6557710683651158,1.447027827868981,,,,,,,,,,,,,,7 of 8 candidates were identified repeatedly (87.5%).,An accession or line met the documented candidate criterion for that independent screen.,Accessions or lines assessed in exactly 5 independent screens.
