Bibliography identifier,Title,Year,DOI,Authors,Source platforms,Matching sources in Table S1 (n),Source identifiers in Table S1,Landing URLs,Maximum reference count reported by source metadata (n),Matching source identifiers,Role in this review,Review note,Reference-list source,References captured (n)
prombib_001,Barley Accessions Resistant to Fusarium Head Blight and the Accumulation of Deoxynivalenol,1997,10.1007/bf03543855,Louis K. Prom; Brian J. Steffenson; Bacilio Salas; T. G. Fetch; Howard H. Casper,Crossref; OpenAlex,2,10.1007/bf03543855; https://openalex.org/W2613293701,https://doi.org/10.1007/bf03543855,5,,Literature context for another crop,,Literature context,
prombib_002,Fusarium Species Pathogenic to Barley and their Associated Toxins,1997,10.1007/bf03543759,Bacilio Salas; Brian J. Steffenson; Howard H. Casper; Louis K. Prom,OpenAlex,1,https://openalex.org/W2005943489,https://doi.org/10.1007/bf03543759,29,,Literature context for another crop,,Literature context,
prombib_003,Races of Pseudomonas syringae pv. glycinea on Commercial Soybean in Eastern North Dakota,1997,10.1094/pdis.1997.81.5.541,Louis K. Prom; J. R. Venette,OpenAlex,1,https://openalex.org/W2140498856,https://doi.org/10.1094/pdis.1997.81.5.541,21,,Literature context for another crop,,Literature context,
prombib_004,Development of Fusarium Head Blight and Accumulation of Deoxynivalenol in Barley Sampled at Different Growth Stages,1999,10.1094/asbcj-57-0060,Louis K. Prom; Richard D. Horsley; Brian J. Steffenson; Paul Schwarz,Crossref; OpenAlex,2,10.1094/asbcj-57-0060; https://openalex.org/W85482695,https://doi.org/10.1094/asbcj-57-0060,12,,Literature context for another crop,,Literature context,
prombib_005,Does function follow form? Principal QTLs for Fusarium head blight (FHB) resistance are coincident with QTLs for inflorescence traits and plant height in a doubled-haploid population of barley,1999,10.1007/s001220051328,Huayu Zhu; L. Gilchrist; Patrick M. Hayes; A. Kleinhofs; David Kudrna; Zhe Liu; Louis K. Prom; Brian J. Steffenson; Theerayut Toojinda; H. Vivar,Crossref; OpenAlex,2,10.1007/s001220051328; https://openalex.org/W2004803020,https://doi.org/10.1007/s001220051328,33,,Literature context for another crop,,Literature context,
prombib_006,Fusarium Species Pathogenic to Barley and Their Associated Mycotoxins,1999,10.1094/pdis.1999.83.7.667,Bacilio Salas; Brian J. Steffenson; Howard H. Casper; Beth K. Tacke; Louis K. Prom; T. G. Fetch; Paul Schwarz,OpenAlex,1,https://openalex.org/W3198940963,https://doi.org/10.1094/pdis.1999.83.7.667,25,,Literature context for another crop,,Literature context,
prombib_007,Mapping of Quantitative Trait Loci for Fusarium Head Blight Resistance in Barley,2000,10.1094/phyto.2000.90.10.1079,Zhengqiang Ma; Brian J. Steffenson; Louis K. Prom; Nora L. V. Lapitan,Crossref; OpenAlex,2,10.1094/phyto.2000.90.10.1079; https://openalex.org/W2070847957,https://doi.org/10.1094/phyto.2000.90.10.1079,35,,Literature context for another crop,,Literature context,
prombib_008,Effect of Fusarium graminearum and F. Poae infection on barley and malt quality,2001,,Pul B. Schwarz; Jürgen Schwarz; Alice Y. Zhou; Louis K. Prom; Brian J. Steffenson,OpenAlex,1,https://openalex.org/W2226586992,https://openalex.org/W2226586992,0,,Literature context for another crop,,Literature context,
prombib_009,Erratum: Mapping of quantitative trait loci for fusarium head blight resistance in barley: (Phytopathology (2000) 90:10 (1079-1088)),2001,,Zhengqiang Ma; Brian J. Steffenson; Louis K. Prom; Nora L. V. Lapitan,OpenAlex,1,https://openalex.org/W2599176427,https://experts.umn.edu/en/publications/erratum-mapping-of-quantitative-trait-loci-for-fusarium-head-blig,0,,Literature context for another crop,,Literature context,
prombib_010,"Laboratory, Greenhouse, and Field Assessment of Fourteen Fungicides for Activity Against Claviceps africana, Causal Agent of Sorghum Ergot.",2003,10.1094/pdis.2003.87.3.252,Louis K. Prom; Thomas Isakeit,Crossref; OpenAlex; PubMed; USDA NAL PubAg,4,10.1094/pdis.2003.87.3.252; 30812756; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915826701407426; https://openalex.org/W2016767255,https://doi.org/10.1094/pdis.2003.87.3.252; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915826701407426; https://pubmed.ncbi.nlm.nih.gov/30812756/,22,,Bibliographic context,,Publisher reference list,22
prombib_011,"Response of eight sorghum cultivars inoculated with Fusarium thapsinum, Curvularia lunata, and a mixture of the two fungi",2003,10.1016/s0261-2194(02)00246-6,Louis K. Prom; Ralph D. Waniska; Abdourhamane I. Kollo; William L. Rooney,Crossref; OpenAlex; USDA NAL PubAg,3,10.1016/s0261-2194(02)00246-6; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915681353007426; https://openalex.org/W2046368984,https://doi.org/10.1016/s0261-2194(02)00246-6; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9915681353007426,24,prom_eight_cultivars_fungal_inoculation_2003,Linked to a source described in Table S1,,Publisher reference list,21
prombib_012,"Transmission of Claviceps africana Spores from Diseased to Non-Infected Sorghum by Corn Earworm Moths, Helicoverpa zea",2003,10.1300/j064v21n04_05,Louis K. Prom; Juan D. Lopez; Mohamed A. Latheef,Crossref; OpenAlex; USDA NAL PubAg,3,10.1300/j064v21n04_05; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916043615907426; https://openalex.org/W2010078543,https://doi.org/10.1300/j064v21n04_05; https://na91.alma.exlibrisgroup.com/primaws/rest/pub/pnxs/L/9916043615907426,16,,Bibliographic context,,Publisher reference list,16
prombib_013,"Effects of storage time, temperature, and age of sphacelia on viability of Claviceps africana conidia",2004,,N. Montes; Thomas Isakeit; Louis K. Prom; G. N. Odvody,OpenAlex,1,https://openalex.org/W2925126353,https://eurekamag.com/research/066/176/066176356.php,0,,Literature context for another crop,,Literature context,
prombib_014,Evaluation of Malian Sorghum Germplasm for Resistance Against Anthracnose,2004,10.3923/ppj.2004.65.71,John E. Erpeldi; Louis K. Prom,OpenAlex,1,https://openalex.org/W2089470562,https://doi.org/10.3923/ppj.2004.65.71,21,prom_mali_anthracnose_2004,Linked to a source described in Table S1,,Publisher reference list,22
prombib_015,"The Effects of Fusarium thapsinum, Curvularia lunata , and Their Combination on Sorghum Germination and Seed Mycoflora",2004,10.1300/j153v06n01_03,Louis K. Prom,Crossref; OpenAlex,2,10.1300/j153v06n01_03; https://openalex.org/W2073779916,https://doi.org/10.1300/j153v06n01_03,24,prom_cultivar_fungal_germination_2004,Linked to a source described in Table S1,,Publisher reference list,20
prombib_016,"Viability of Claviceps africana spores ingested by adult corn earworm moths, Helicoverpa zea (Boddie) (Lepidoptera: Noctuidae).",2004,10.1093/jee/97.3.764,Louis K. Prom; J. D. López,OpenAlex; PubMed,3,15279250; https://openalex.org/W2021946930; https://openalex.org/W4242351177,https://doi.org/10.1093/jee/97.3.764; https://doi.org/10.1603/0022-0493(2004)097[0764:vocasi]2.0.co;2; https://pubmed.ncbi.nlm.nih.gov/15279250/,11,,Literature context for another crop,,Literature context,
prombib_017,Inoculation Techniques for Identifying Resistance in Sorghum Genotypes to Sorghum Ergot,2005,10.1300/j153v07n01_02,Louis K. Prom; John E. Erpelding; Thomas Isakeit; Noé Montes-García,Crossref; OpenAlex,2,10.1300/j153v07n01_02; https://openalex.org/W2122541242,https://doi.org/10.1300/j153v07n01_02,17,prom_ergot_inoculation_genotypes_2005,Linked to a source described in Table S1,,Publisher reference list,17
prombib_018,Role of chitinase and sormatin accumulation in the resistance of sorghum cultivars to grain mold.,2005,10.1021/jf050367t,Louis K. Prom; Ralph D. Waniska; Abdourhamane I. Kollo; William L. Rooney; Feliciano P. Bejosano,Crossref; OpenAlex; PubMed,3,10.1021/jf050367t; 15998115; https://openalex.org/W2025499251,https://doi.org/10.1021/jf050367t; https://pubmed.ncbi.nlm.nih.gov/15998115/,18,prom_grain_mold_cultivars_2005,Linked to a source described in Table S1,,Publisher reference list,18
prombib_019,Survival of Claviceps africana Within Sorghum Panicles at Several Texas Locations.,2005,10.1094/pd-89-0039,Louis K. Prom; Thomas Isakeit; G. N. Odvody; Charlie M. Rush; Harold W. Kaufman; Noé Montes-García,Crossref; OpenAlex; PubMed,3,10.1094/pd-89-0039; 30795282; https://openalex.org/W2020173491,https://doi.org/10.1094/pd-89-0039; https://pubmed.ncbi.nlm.nih.gov/30795282/,24,,Bibliographic context,,Publisher reference list,24
