Source identifier,Date located,Title,Citation,DOI or repository identifier,Publication or repository page,Source file URL,Published file name,Date accessed,Source file SHA-256,Published rights or license terms,Location of rights or license terms,Reuse permitted by published terms,Disease or diseases,Germplasm detail,Phenotype detail,Assay or field context,Relationship to measurements in other reports,Scientific use,Starting publication identifiers,Starting publication titles,Citation-tracing depth,Matching source identifiers
onegen_0001,2026-07-14,"(2022, April 25). Diagnosis and Management of Sorghum Diseases. Available online: https://ccag.tamu.edu/wp-content/uploads/sites/10/2020/12/2010_SORGHUM_DISEASES.pdf.","(2022, April 25). Diagnosis and Management of Sorghum Diseases. Available online: https://ccag.tamu.edu/wp-content/uploads/sites/10/2020/12/2010_SORGHUM_DISEASES.pdf.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_128,A Genome-Wide Association Study of Senegalese Sorghum Seedlings Responding to Pathotype 5 of Sporisorium reilianum.,1,
onegen_0002,2026-07-14,"A Genome-Wide Association Study of Nigerien and Senegalese Sorghum Germplasm of Exserohilum turcicum, the Causal Agent of Leaf Blight","A Genome-Wide Association Study of Nigerien and Senegalese Sorghum Germplasm of Exserohilum turcicum, the Causal Agent of Leaf Blight (2023)",10.3390/plants12234010; 10.15482/USDA.ADC/25843822.v1,https://agdatacommons.nal.usda.gov/articles/dataset/25843822,https://ndownloader.figshare.com/files/46382200,Prom_GWAS_Leaf_Blight_2022.csv,2026-07-14,11db868ef72afd815e1b9757ab0e9e63d0334c4b48a9a1612183b167e590af7b,Public domain,Https://agdatacommons.nal.usda.gov/articles/dataset/25843822,Reuse permitted under the published terms,Leaf blight,120 lines and associated checks,Leaf-blight response measurements for Nigerien and Senegalese sorghum germplasm,The source records missing values for some leaf-blight measurements.,Original leaf-blight experiment; the 2026 machine-learning paper reports the same measurements and is grouped with this study,Quantitative analysis of accession or line responses,prombib_158; prombib_169; prombib_174,Genome-wide association study of Nigerien and Senegalese sorghum genotypes for their response to downy mildew; Genomic analysis of resistance to Exserohilum turcicum in Nigerien and Senegalese sorghum using GWAS and machine learning; Unveiling the potential role of dhurrin in sorghum during infection by the head smut pathogen sporisorium reilianum f. sp. reilianum,1,panelB_wa_leafblight
onegen_0003,2026-07-14,A Genome-Wide Association Study of Senegalese Sorghum Seedlings Responding to Pathotype 5 of Sporisorium reilianum,A Genome-Wide Association Study of Senegalese Sorghum Seedlings Responding to Pathotype 5 of Sporisorium reilianum (2022),10.3390/plants11212999,https://www.mdpi.com/2223-7747/11/21/2999,https://mdpi-res.com/d_attachment/plants/plants-11-02999/article_deploy/plants-11-02999-s001.zip,plants-11-02999-s001.zip::plants-1948040-supplementary.xlsx,2026-07-14,c0c646ff4f95b9ea13d8cdb7279279ac80ed3c96e174ca26cfa43b93679cf190,Creative Commons Attribution 4.0,Https://www.mdpi.com/2223-7747/11/21/2999,Reuse permitted under the published terms,Head smut seedling spot,163 Senegal PI accessions and four checks,Head-smut symptom timing and response measurements for individual seedlings,,,Descriptive scientific context,prombib_128; prombib_142; prombib_145; prombib_146; prombib_157; prombib_169,"A Genome-Wide Association Study of Senegalese Sorghum Seedlings Responding to Pathotype 5 of Sporisorium reilianum.; Genome-wide association analysis uncovers genes associated with resistance to head smut pathotype 5 in senegalese sorghum accessions; Genome-wide association study of seed morphology traits in Senegalese sorghum cultivars; Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina; Multi-trait Genome-wide Association Studies of Sorghum bicolor regarding resistance to anthracnose, downy mildew, grain mold and head smut; Unveiling the potential role of dhurrin in sorghum during infection by the head smut pathogen sporisorium reilianum f. sp. reilianum",1,prom_senegal_seedling_head_smut_p5_2022
onegen_0004,2026-07-14,A greenhouse screening technique to assess rust resistance in sorghum∗,A greenhouse screening technique to assess rust resistance in sorghum∗,10.1080/09670879609371999,,,,2026-07-14,,,,,,,,,,Literature context,prombib_053,Reaction to Rust by a Subset of Sorghum Accessions from Zimbabwe,1,
onegen_0005,2026-07-14,A Pictorial Technique for Mass Screening of Sorghum Germplasm for Anthracnose ( Colletotrichum sublineolum ) Resistance,A Pictorial Technique for Mass Screening of Sorghum Germplasm for Anthracnose ( Colletotrichum sublineolum ) Resistance,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_096,"Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut",1,
onegen_0006,2026-07-14,A survey of anthracnose resistant sorghum germplasm lines to identify additional resistance genes,A survey of anthracnose resistant sorghum germplasm lines to identify additional resistance genes,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_031,"Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum",1,
onegen_0007,2026-07-14,Accumulation of 3-deoxyanthocyanidin phytoalexins and resistance to Colletotrichum sublineolum in sorghum,Accumulation of 3-deoxyanthocyanidin phytoalexins and resistance to Colletotrichum sublineolum in sorghum,10.1006/pmpp.1999.0231,,,,2026-07-14,,,,,,,,,,Literature context,prombib_014; prombib_023; prombib_055; prombib_059; prombib_084; prombib_121,"Defense responses against the sorghum anthracnose pathogen in leaf blade and midrib tissue of johnsongrass and sorghum; Evaluation of Malian Sorghum Germplasm for Resistance Against Anthracnose; RNA-Sequencing in Resistant (QL3) and Susceptible (Theis) Sorghum Cultivars Inoculated With Johnsongrass Isolates of Colletotrichum sublineola.; Response of near isogenic sorghum lines, differing at the P locus for plant color, to grain mold and head smut fungi; Sorghum pathology and biotechnology - a fungal disease perspective: Part II. Anthracnose, stalk rot, and downy mildew; Variation for Anthracnose Resistance within the Sorghum Germplasm Collection from Mozambique, Africa",1,
onegen_0008,2026-07-14,Aggressiveness of Loose Kernel Smut Isolate from Johnson Grass on Sorghum Line BTx643,Aggressiveness of Loose Kernel Smut Isolate from Johnson Grass on Sorghum Line BTx643,,,,,2026-07-14,,,,,,,,,,Literature context,prombib_116,Diseases of Johnsongrass ( Sorghum halepense ): possible role as a reservoir of pathogens affecting other plants,1,
onegen_0009,2026-07-14,"Agrama HA, Houssin SF, Tarek MA (2002) Cloning of AFLP markers linked to resistance to Peronosclerospora sorghi in maize. Mol Genet Genomics 267:814–819. doi:10.1007/s00438-002-0713-2","Agrama HA, Houssin SF, Tarek MA (2002) Cloning of AFLP markers linked to resistance to Peronosclerospora sorghi in maize. Mol Genet Genomics 267:814–819. doi:10.1007/s00438-002-0713-2",10.1007/s00438-002-0713-2,,,,2026-07-14,,,,,,,,,,Literature context,prombib_031,"Molecular mapping of Cg1, a gene for resistance to anthracnose (Colletotrichum sublineolum) in sorghum",1,
onegen_0010,2026-07-14,"Ahn E, Fall C, Botkin J, Curtin S, Prom LK, Magill C. Inoculation and screening methods for major sorghum diseases caused by fungal pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina. Plants. 2023;12:1906.","Inoculation and Screening Methods for Major Sorghum Diseases Caused by Fungal Pathogens: Claviceps africana, Colletotrichum sublineola, Sporisorium reilianum, Peronosclerospora sorghi and Macrophomina phaseolina (2023)",10.3390/plants12091906,https://doi.org/10.3390/plants12091906,,article,,,Creative Commons Attribution 4.0,Https://doi.org/10.3390/plants12091906,Reuse permitted under the published terms,Multiple sorghum diseases,Methods review,Disease measurements reported in the original source,,Methods review; the cited source studies report the original disease measurements,Literature context,prombib_162; prombib_167,A machine learning approach to genome-wide association mapping of disease resistance and geographic origin in sorghum; Seed quality drives grain yield in Ethiopian and Senegalese sorghum: Insights from machine learning,1,prom_sorghum_disease_methods_2023
onegen_0011,2026-07-14,"Ahn, E., Fan, F., Prom, L. K., Odvody, G. & Magill, C. The response of sorghum cultivars to mixtures of compatible and incompatible isolates and different conidia concentrations of Colletotrichum sublineola. Physiol. Mol. Plant Pathol. https://doi.org/10.1016/j.pmpp.2021.101690 (2021).",The response of sorghum cultivars to mixtures of compatible and incompatible isolates and different conidia concentrations of Colletotrichum sublineola (2021),10.1016/j.pmpp.2021.101690,https://doi.org/10.1016/j.pmpp.2021.101690,,main article tables,,,,Https://doi.org/10.1016/j.pmpp.2021.101690,,Anthracnose,Cultivar-by-isolate-mixture experiment,Disease-response values for candidate cultivars,,,Literature context,prombib_133; prombib_164,Candidate genes for anthracnose resistance in Senegalese sorghum: a machine learning-based exploration; Genome-wide association study of Senegalese sorghum seedlings responding to a Texas isolate of Colletotrichum sublineola.,1,prom_cultivar_isolate_anthracnose_2021
onegen_0012,2026-07-14,"Ahn, E., Hu, Z., Perumal, R., Prom, L. K., Odvody, G., Upadhyaya, H. D., & Magill, C. (2019). Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut. PLoS One, 14, e0216671.","Ahn, E., Hu, Z., Perumal, R., Prom, L. K., Odvody, G., Upadhyaya, H. D., & Magill, C. (2019). Genome wide association analysis of sorghum mini core lines regarding anthracnose, downy mildew, and head smut. PLoS One, 14, e0216671.",,,,,2026-07-14,,,,,,,,,,Literature context,prombib_105,"Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined",1,
