Reference identifier,DOI,OpenAlex identifier,Citing Prom publications (n),Citing Prom bibliography identifiers,Citing Prom publication titles,Citation source,Search record URL,Search finding
Oa:W6602586571,,W6602586571,5,prombib_011; prombib_022; prombib_045; prombib_064; prombib_105,"Evaluation of selected sorghum lines and hybrids for resistance to grain mold and long smut fungi in Senegal, West Africa; Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined; Response of eight sorghum cultivars inoculated with Fusarium thapsinum, Curvularia lunata, and a mixture of the two fungi; Seed Mycoflora for Grain Mold from Natural Infection in Sorghum Germplasm Grown at Isabela, Puerto Rico and their Association with Kernel Weight and Germination",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6611221950,,W6611221950,4,prombib_011; prombib_022; prombib_045; prombib_150,"Association and interrelationship among agronomic traits and fungal diseases of sorghum, anthracnose and grain mold; Evaluation of the Ugandan sorghum accessions for grain mold and anthracnose resistance; Response of eight sorghum cultivars inoculated with Fusarium thapsinum, Curvularia lunata, and a mixture of the two fungi; Seed Mycoflora for Grain Mold from Natural Infection in Sorghum Germplasm Grown at Isabela, Puerto Rico and their Association with Kernel Weight and Germination",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6689350696,,W6689350696,1,prombib_011,"Response of eight sorghum cultivars inoculated with Fusarium thapsinum, Curvularia lunata, and a mixture of the two fungi",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW6683673603%7CW6683848932%7CW6685896491%7CW6687566270%7CW6689350696%7CW6692051148%7CW6692146016%7CW6692512456%7CW6693463408%7CW6696947097%7CW6703008615%7CW6712865866%7CW6717732383%7CW6725956750%7CW6727831295%7CW6739301629%7CW6746076884%7CW6748870641%7CW6751070255%7CW6753230755%7CW6753292358%7CW6753578924%7CW6756303833%7CW6774518529%7CW6786164076%7CW6794393417%7CW6796255830%7CW6803882144%7CW6806421124%7CW6807754091%7CW6810428222%7CW6836101573%7CW6844021140%7CW6847834653%7CW6869410255%7CW6881081297%7CW6922397887%7CW6958995990%7CW6981235383%7CW6987931530%7CW7053564776%7CW7073760023%7CW7074229912&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W4285719527,,W4285719527,13,prombib_019; prombib_034; prombib_048; prombib_050; prombib_052; prombib_063; prombib_064; prombib_073; prombib_098; prombib_099; prombib_100; prombib_105; prombib_110,"Evaluation of Gambian and Malian sorghum germplasm against downy mildew pathogen, Peronosclerospora sorghi, in Mexico and the USA; Evaluation of selected sorghum lines and hybrids for resistance to grain mold and long smut fungi in Senegal, West Africa; GWAS analysis of sorghum association panel lines identifies SNPs associated with disease response to Texas isolates of Colletotrichum sublineola; Genetic diversity and pathotype determination of Colletotrichum sublineolum isolates causing anthracnose in sorghum; Genome-wide association mapping of grain mold resistance in the U.S. sorghum association panel; Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined; Isolation and characterization of the grain mold fungi Cochliobolus and Alternaria spp. from sorghum using semiselective media and DNA sequence analyses.; Mating type a locus alleles and genomic polymorphism in Sporisorium reilianum: Comparison of sorghum isolates to those from maize; Reaction of sorghum lines to zonate leaf spot and rough leaf spot; Screening sorghum accessions for resistance against anthracnose and grain mold through inoculating with pathogens; Simple sequence repeat markers useful for sorghum downy mildew (Peronosclerospora sorghi) and related species.; Survival of Claviceps africana Within Sorghum Panicles at Several Texas Locations.; Virulence and Molecular Genotyping Studies of Sporisorium reilianum Isolates in Sorghum.",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6630674337,,W6630674337,1,prombib_019,Survival of Claviceps africana Within Sorghum Panicles at Several Texas Locations.,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6622700980,,W6622700980,1,prombib_021,Ergot Response for the Sorghum Genotype IS8525,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6636046727,,W6636046727,1,prombib_021,Ergot Response for the Sorghum Genotype IS8525,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6608591213,,W6608591213,1,prombib_022,"Seed Mycoflora for Grain Mold from Natural Infection in Sorghum Germplasm Grown at Isabela, Puerto Rico and their Association with Kernel Weight and Germination",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6683207008,,W6683207008,1,prombib_022,"Seed Mycoflora for Grain Mold from Natural Infection in Sorghum Germplasm Grown at Isabela, Puerto Rico and their Association with Kernel Weight and Germination",OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
Oa:W6624616687,,W6624616687,1,prombib_024,Assessing the vulnerability of selected sorghum lines from the United States of America to long smut (Sporisorium ehrenbergii Vánky) disease,OpenAlex citation records,https://api.openalex.org/works?filter=openalex_id%3AW1875164193%7CW2182638063%7CW2275188307%7CW2470357444%7CW2612032254%7CW3022930123%7CW3125590945%7CW4206920689%7CW4206958471%7CW4285719527%7CW6601482391%7CW6602387169%7CW6602586571%7CW6603206069%7CW6603940800%7CW6605274338%7CW6606500284%7CW6607408362%7CW6608591213%7CW6609298465%7CW6609417635%7CW6610766001%7CW6611221950%7CW6612955938%7CW6615288153%7CW6621233215%7CW6622700980%7CW6624616687%7CW6628316086%7CW6630674337%7CW6630906916%7CW6630964377%7CW6634330782%7CW6634677644%7CW6634912077%7CW6636046727%7CW6636295136%7CW6640359030%7CW6645284547%7CW6645475247%7CW6659878711%7CW6666778901%7CW6674647444%7CW6677616063%7CW6678555805%7CW6678847611%7CW6679592256%7CW6681367416%7CW6682086512%7CW6683207008&per-page=100&select=id%2Cdoi%2Ctitle%2Cpublication_year%2Ctype%2Cauthorships,Crossref and OpenAlex supplied no title for this identifier on 14 July 2026.
