Normalized accession or line ID,Reported label(s),Repeated identification pattern,Number of qualifying independent screens,Diseases represented,Disease repeated in more than one screen,Source citations,Source links
ETSL 100016,ETSL 100016; ETSL_100016,Different diseases only,2,anthracnose; head smut,No disease repeated,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2; https://doi.org/10.3389/fpls.2019.00691
ETSL 100063,ETSL 100063; ETSL_100063,Different diseases only,2,anthracnose; head smut,No disease repeated,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2; https://doi.org/10.3389/fpls.2019.00691
ETSL 100064,ETSL 100064; ETSL_100064,Different diseases only,2,anthracnose; head smut,No disease repeated,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2; https://doi.org/10.3389/fpls.2019.00691
ETSL 100169,ETSL 100169; ETSL_100169,Different diseases only,2,anthracnose; head smut,No disease repeated,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2; https://doi.org/10.3389/fpls.2019.00691
ETSL 100246,ETSL 100246; ETSL_100246,Different diseases only,2,anthracnose; head smut,No disease repeated,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2; https://doi.org/10.3389/fpls.2019.00691
ETSL 100249,ETSL 100249; ETSL_100249,Different diseases only,2,anthracnose; head smut,No disease repeated,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2; https://doi.org/10.3389/fpls.2019.00691
ETSL 100252,ETSL 100252,Different diseases only,2,anthracnose; head smut,No disease repeated,Aragaw and Terefe (2024). Response of sorghum genotypes to anthracnose (Colletotrichum sublineolum) resistance under field conditions in eastern Ethiopia. PLOS ONE 19:e0316016. https://doi.org/10.1371/journal.pone.0316016; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1371/journal.pone.0316016; https://doi.org/10.3389/fpls.2019.00691
ETSL 100267,ETSL 100267; ETSL_100267,Different diseases only,2,anthracnose; head smut,No disease repeated,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2; https://doi.org/10.3389/fpls.2019.00691
ETSL 100309,ETSL 100309,Different diseases only,2,anthracnose; head smut,No disease repeated,Aragaw and Terefe (2024). Response of sorghum genotypes to anthracnose (Colletotrichum sublineolum) resistance under field conditions in eastern Ethiopia. PLOS ONE 19:e0316016. https://doi.org/10.1371/journal.pone.0316016; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1371/journal.pone.0316016; https://doi.org/10.3389/fpls.2019.00691
ETSL 100438,ETSL 100438; ETSL_100438,Different diseases only,2,anthracnose; head smut,No disease repeated,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2; https://doi.org/10.3389/fpls.2019.00691
ETSL 100450,ETSL 100450; ETSL_100450,Different diseases only,2,anthracnose; head smut,No disease repeated,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1186/s12864-024-10545-2; https://doi.org/10.3389/fpls.2019.00691
ETSL 100498,ETSL 100498,Different diseases only,2,anthracnose; head smut,No disease repeated,Aragaw and Terefe (2024). Response of sorghum genotypes to anthracnose (Colletotrichum sublineolum) resistance under field conditions in eastern Ethiopia. PLOS ONE 19:e0316016. https://doi.org/10.1371/journal.pone.0316016; Girma et al. (2019). A Large-Scale Genome-Wide Association Analyses of Ethiopian Sorghum Landrace Collection Reveal Loci Associated With Important Traits. Frontiers in Plant Science 10:691. https://doi.org/10.3389/fpls.2019.00691,https://doi.org/10.1371/journal.pone.0316016; https://doi.org/10.3389/fpls.2019.00691
