Source identifier,Title,Citation,DOI or repository identifier,Publication or repository page,Source file URL,Published file name,Date accessed,Reuse terms reported by source,Location of rights information,Use permitted by source terms,Disease or diseases,Germplasm described,Phenotype data described,Relationship to measurements in other reports,Evidence reviewed,Role in this study
anthracnose_pathotype_differentials,Genetic Diversity and Classification of Colletotrichum sublineola Pathotypes Using a Standard Set of Sorghum Differentials,Genetic Diversity and Classification of Colletotrichum sublineola Pathotypes Using a Standard Set of Sorghum Differentials (2024),10.3390/jof10010003; 10.15482/USDA.ADC/25988122.v1,https://agdatacommons.nal.usda.gov/articles/dataset/25988122,https://ndownloader.figshare.com/files/46880146,Prom_Anthracnose_Diversity_Data_2024.csv,2026-07-14,Creative Commons Attribution 4.0,https://agdatacommons.nal.usda.gov/articles/dataset/25988122,Derived results may be shared under the stated terms,Anthracnose pathotype,18 sorghum differentials by 30 isolates,Public isolate-by-differential CSV available,Distinct measurements,Descriptive results,Quantitative disease-response evidence
ethiopian_field_anthracnose_multisite,Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study,Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study (2024),10.1186/s12864-024-10545-2,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10545-2,https://static-content.springer.com/esm/art%3A10.1186%2Fs12864-024-10545-2/MediaObjects/12864_2024_10545_MOESM1_ESM.xlsx,12864_2024_10545_MOESM1_ESM.xlsx,2026-07-14,Creative Commons Attribution 4.0,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10545-2,Derived results may be shared under the stated terms,Anthracnose,358 genotypes,Complete public accession-by-location combined dough-stage table,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
minicore_multidisease_reanalysis_2026,A machine learning approach to genome-wide association mapping of disease resistance and geographic origin in sorghum,A machine learning approach to genome-wide association mapping of disease resistance and geographic origin in sorghum (2026),10.1186/s12870-026-08468-z,https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-026-08468-z,https://static-content.springer.com/esm/art%3A10.1186%2Fs12870-026-08468-z/MediaObjects/12870_2026_8468_MOESM2_ESM.xlsx,12870_2026_8468_MOESM2_ESM.xlsx,,Creative Commons Attribution 4.0,https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-026-08468-z,Derived results may be shared under the stated terms,Anthracnose; Downy mildew; Head smut,Mini-core plus unphenotyped Senegal accessions,Public phenotype table is a re-release of prior mini-core values,Measurements also published elsewhere,Citation and biological context,Analysis of previously reported measurements
panelA_pr_multidisease,"Response of Sorghum Accessions from Three African Countries to Anthracnose, Grain Mould and Rust","Response of Sorghum Accessions from Three African Countries to Anthracnose, Grain Mould and Rust (2022)",10.3923/ppj.2022.12.23; 10.15482/USDA.ADC/25707396.v1,https://agdatacommons.nal.usda.gov/articles/dataset/25707396,https://ndownloader.figshare.com/files/45921822,Prom_LK_Data_2017_2018_Diseaase_traits.csv,2026-07-14,Public domain,https://agdatacommons.nal.usda.gov/articles/dataset/25707396,Derived results may be shared under the stated terms,Anthracnose; Grain mold; rust,179 accessions reported in the paper; public CSV includes repeated observations and named checks,Public CSV available,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
panelB_wa_leafblight,"A Genome-Wide Association Study of Nigerien and Senegalese Sorghum Germplasm of Exserohilum turcicum, the Causal Agent of Leaf Blight","A Genome-Wide Association Study of Nigerien and Senegalese Sorghum Germplasm of Exserohilum turcicum, the Causal Agent of Leaf Blight (2023)",10.3390/plants12234010; 10.15482/USDA.ADC/25843822.v1,https://agdatacommons.nal.usda.gov/articles/dataset/25843822,https://ndownloader.figshare.com/files/46382200,Prom_GWAS_Leaf_Blight_2022.csv,2026-07-14,Public domain,https://agdatacommons.nal.usda.gov/articles/dataset/25843822,Derived results may be shared under the stated terms,Leaf blight,120 lines reported; public file includes accessions and checks,Public CSV available,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_accession_anthracnose_grain_mold_2020,Screening Sorghum Accessions for Resistance against Anthracnose and Grain Mold through Inoculating with Pathogens,"Prom LK, Cuevas H, Isakeit T, Magill C. Journal of Experimental Agriculture International 42(1) (2020): 73-83.",10.9734/JEAI/2020/v42i130453,https://doi.org/10.9734/JEAI/2020/v42i130453,https://doi.org/10.9734/JEAI/2020/v42i130453,prom_accession_anthracnose_grain_mold_2020.pdf,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.9734/JEAI/2020/v42i130453,Derived results may be shared under the stated terms,Anthracnose; Grain mold,Accession: 47; Two-accession treatment subset selected by outcome: 2; Resistant control: 1; Susceptible control: 1,The complete public table contains 214 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_agronomic_grain_mold_senegal_2026,Agronomic Traits of Sorghum Cultivars from the US and Senegal and Their Response to Grain Mold Infection,"Prom LK, Ahn E, Isakeit T, Magill C. 2026. American Journal of Plant Sciences 17(3):302-319. doi:10.4236/ajps.2026.173020.",10.4236/ajps.2026.173020,https://doi.org/10.4236/ajps.2026.173020,https://www.scirp.org/pdf/ajps_2606255.pdf,prom_agronomic_grain_mold_senegal_2026.pdf,2026-07-14,Creative Commons Attribution 4.0,https://doi.org/10.4236/ajps.2026.173020,Derived results may be shared under the stated terms,Grain mold,Cultivar or line: 24,The complete public table contains 48 reported observations for accessions or lines; missing values are retained as reported.,Distinct measurements,Full quantitative data,Quantitative disease-response evidence
prom_anthracnose_final_report_2018,Uncovering novel sources of anthracnose resistance in populations of genetically diverse sorghums (Final Report),Uncovering novel sources of anthracnose resistance in populations of genetically diverse sorghums (Final Report) (2018),10.2172/1901798,https://doi.org/10.2172/1901798,,project final report and linked records,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.2172/1901798,Source permission required for accession-level sharing,Anthracnose,Genetically diverse sorghum populations,The reviewed materials provide project-level findings and citations to underlying studies,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_anthracnose_pathotypes_2012,Genetic diversity and pathotype determination of Colletotrichum sublineolum isolates causing anthracnose in sorghum,Genetic diversity and pathotype determination of Colletotrichum sublineolum isolates causing anthracnose in sorghum (2012),10.1007/s10658-012-9946-z,https://doi.org/10.1007/s10658-012-9946-z,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1007/s10658-012-9946-z,Source permission required for accession-level sharing,Anthracnose pathotype,Isolate-by-differential experiment,Differential-level values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_btx643_loose_kernel_smut_2017,Aggressiveness of Loose Kernel Smut Isolate from Johnsongrass on Sorghum Line BTx643,Aggressiveness of Loose Kernel Smut Isolate from Johnsongrass on Sorghum Line BTx643 (2017),OpenAlex:W3155500161,https://openalex.org/W3155500161,,main article tables,,Reuse terms were not stated in the materials reviewed,https://openalex.org/W3155500161,Source permission required for accession-level sharing,Loose kernel smut,"One sorghum line, BTx643",Single-line isolate aggressiveness experiment; single-genotype biological context,Measurements unique to this source within the reviewed literature,Citation and biological context,Biological context
prom_burkina_south_africa_anthracnose_grain_mold_2015,Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose,Assessment of sorghum germplasm from Burkina Faso and South Africa to identify new sources of resistance to grain mold and anthracnose (2015),10.1016/j.cropro.2015.10.007,https://doi.org/10.1016/j.cropro.2015.10.007,,main article tables,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1016/j.cropro.2015.10.007,Source permission required for accession-level sharing,Anthracnose; Grain mold,Burkina Faso and South Africa germplasm,Accession-level values described in the article were reviewed qualitatively,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
prom_canopy_anthracnose_2026,Canopy leaf-angle architecture and leaf blade–midrib susceptibility are associated with anthracnose severity in sorghum and johnsongrass,Canopy leaf-angle architecture and leaf blade–midrib susceptibility are associated with anthracnose severity in sorghum and johnsongrass (2026),10.1094/PDIS-04-26-0770-RE,https://doi.org/10.1094/PDIS-04-26-0770-RE,,article and supplementary files,,Reuse terms were not stated in the materials reviewed,https://doi.org/10.1094/PDIS-04-26-0770-RE,Source permission required for accession-level sharing,Anthracnose,Sorghum and Johnsongrass plants,The reviewed materials provide aggregate sorghum disease-response results,Measurements unique to this source within the reviewed literature,Citation and biological context,Citation and biological context
