Search ID,Search date,Search kind,Search platform,Exact query or seed,Result page URL,Starting source identifier,Parent source identifier,Reference depth,Search purpose,Results returned,Results screened,Source identifiers recorded,Reason for extended citation tracing,Recorded timestamp,Notes
prom_pubmed_exact_20260714,2026-07-14,Database query,PubMed,Prom LK[Author] AND sorghum,https://pubmed.ncbi.nlm.nih.gov/?term=Prom+LK%5BAuthor%5D+AND+sorghum,,,0,Locate publications or records by Prom,43,43,anthracnose_pathotype_differentials; minicore_multidisease_reanalysis_2026; panelB_wa_leafblight; prom_canopy_anthracnose_2026; prom_dhurrin_head_smut_2025; prom_downy_mildew_markers_pathotypes_2008; prom_ethiopia_anthracnose_2019; prom_grain_mold_cultivars_2005; prom_grain_mold_ml_2025; prom_haplotype_grain_mold_2026; prom_head_smut_isolate_variability_2024; prom_head_smut_virulence_2011; prom_leaf_angle_correction_2021; prom_leaf_blight_ml_2026; prom_leaf_traits_anthracnose_2020; prom_minicore_multidisease_2019; prom_multitrait_reanalysis_2023; prom_pr10_grain_mold_defense_2009; prom_ql3_is18760_anthracnose_inheritance_2021; prom_rna_seq_anthracnose_2021; prom_sap_anthracnose_2018; prom_sap_grain_mold_pr_2019; prom_sap_texas_anthracnose_2019; prom_sc112_ril_anthracnose_2020; prom_seed_quality_ml_2025; prom_senegal_8leaf_anthracnose_2021; prom_senegal_anthracnose_ml_2025; prom_senegal_seed_quality_2018; prom_senegal_seedling_head_smut_p5_2022; prom_sorghum_disease_methods_2023; prom_sudan_anthracnose_2020; prom_sudan_rust_2025; senegal_head_smut_pathotype5; senegal_seedling_anthracnose; sweet_sorghum_multilocation_anthracnose,,2026-07-14T12:53:30-04:00,The exact PubMed query for the author name and sorghum returned 43 records. Table S14 lists the returned publications; Table S4 records checksums for downloaded source files.
prom_openalex_a5029612664_20260714,2026-07-14,Author publication review,OpenAlex,OpenAlex author profile A5029612664,"https://api.openalex.org/works?filter=authorships.author.id:A5029612664&select=id,doi,title,publication_year,type&per-page=200",,,0,Locate publications or records by Prom,164,164,anthracnose_pathotype_differentials; minicore_multidisease_reanalysis_2026; panelA_pr_multidisease; panelB_wa_leafblight; prom_accession_anthracnose_grain_mold_2020; prom_anthracnose_final_report_2018; prom_anthracnose_pathotypes_2012; prom_burkina_south_africa_anthracnose_grain_mold_2015; prom_cg1_anthracnose_mapping_2008; prom_chad_uganda_downy_mildew_2010; prom_china_ergot_2008; prom_chinese_downy_anthracnose_2007; prom_commercial_field_fungal_diversity_2025; prom_converted_lines_anthracnose_downy_2016; prom_converted_lines_grain_biodeterioration_2016; prom_crops_anthracnose_grain_mold_2024; prom_cultivar_fungal_germination_2004; prom_cultivar_isolate_anthracnose_2021; prom_dhurrin_head_smut_2025; prom_differentials_other_diseases_niger_2020; prom_downy_mildew_markers_pathotypes_2008; prom_eight_cultivars_fungal_inoculation_2003; prom_ergot_inoculation_genotypes_2005; prom_ergot_is8525_2006; prom_ergot_severity_mexico_us_2008; prom_ethiopia_anthracnose_2009_spanish; prom_ethiopia_anthracnose_2019; prom_ethiopia_anthracnose_pathotypes_2021; prom_ethiopia_anthracnose_subset_2022; prom_ethiopia_anthracnose_weather_2010; prom_ethiopia_grain_mold_2024; prom_ethiopia_mali_fusarium_2013; prom_excised_leaf_screen_2015; prom_four_country_anthracnose_2012; prom_gambia_mali_downy_mildew_2014; prom_grain_mold_cultivars_2005; prom_grain_mold_differentials_pr_2023; prom_grain_mold_ml_2025; prom_haplotype_grain_mold_2026; prom_head_smut_isolate_variability_2024; prom_head_smut_virulence_2011; prom_hybrid_seed_mycoflora_texas_2014; prom_leaf_angle_correction_2021; prom_leaf_blight_ml_2026; prom_leaf_tissue_anthracnose_defense_2018; prom_leaf_traits_anthracnose_2020; prom_lines_long_smut_grain_mold_2017; prom_mali_anthracnose_2004; prom_minicore_multidisease_2019; prom_mozambique_anthracnose_2006; prom_multitrait_reanalysis_2023; prom_near_isogenic_grain_mold_head_smut_2013; prom_niger_disease_incidence_2023; prom_niger_disease_survey_2020; prom_niger_senegal_downy_mildew_2024; prom_panelA_correlation_2024; prom_planting_depth_head_smut_2014; prom_pr10_grain_mold_defense_2009; prom_pr_mexico_seed_mycoflora_2018; prom_ql3_is18760_anthracnose_inheritance_2021; prom_rna_seq_anthracnose_2021; prom_sap_anthracnose_2018; prom_sap_fungal_diversity_2021; prom_sap_grain_mold_correlations_2021; prom_sap_grain_mold_pr_2019; prom_sap_grain_mold_texas_2020; prom_sap_head_smut_p5_p6_2021; prom_sap_seed_fungal_community_2020; prom_sap_texas_anthracnose_2019; prom_sc112_inheritance_mapping_2014; prom_sc112_ril_anthracnose_2020; prom_seed_mycoflora_pr_2006; prom_seed_quality_ml_2025; prom_senegal_8leaf_anthracnose_2021; prom_senegal_anthracnose_ml_2025; prom_senegal_disease_occurrence_2020; prom_senegal_disease_survey_2023; prom_senegal_grain_mold_long_smut_2014; prom_senegal_head_smut_crops_2022; prom_senegal_seed_quality_2018; prom_senegal_seedling_head_smut_p5_2022; prom_six_line_fungal_isolation_2023; prom_sorghum_disease_methods_2023; prom_sudan_anthracnose_2020; prom_sudan_grain_mold_2024; prom_sudan_grain_mold_sources_2009; prom_sudan_rust_2025; prom_texas_hybrid_weathering_fungi_2022; prom_three_line_anthracnose_inheritance_2018; prom_uav_anthracnose_health_2018; prom_uganda_grain_mold_anthracnose_2011; prom_us_lines_long_smut_2007; prom_us_lines_long_smut_grain_mold_2018; prom_weather_anthracnose_genotypes_2015; prom_zimbabwe_anthracnose_2014; prom_zimbabwe_rust_2012; prom_zonate_leaf_spot_2021; prom_zonate_rough_leaf_spot_2015; ref_prom_anthracnose_screening_method_2009; ref_radwan_downy_mildew_p6_2011; senegal_head_smut_pathotype5; senegal_seedling_anthracnose; sweet_sorghum_multilocation_anthracnose,,2026-07-14T12:53:30-04:00,"OpenAlex listed the author under several profiles. Each profile was searched separately, and every returned title was reviewed."
prom_openalex_a5067736475_20260714,2026-07-14,Author publication review,OpenAlex,OpenAlex author profile A5067736475,"https://api.openalex.org/works?filter=authorships.author.id:A5067736475&select=id,doi,title,publication_year,type&per-page=200",,,0,Locate publications or records by Prom,1,1,prom_uganda_downy_mildew_2019,,2026-07-14T12:53:30-04:00,"OpenAlex listed the author under several profiles. Each profile was searched separately, and every returned title was reviewed."
prom_openalex_a5135800447_20260714,2026-07-14,Author publication review,OpenAlex,OpenAlex author profile A5135800447,"https://api.openalex.org/works?filter=authorships.author.id:A5135800447&select=id,doi,title,publication_year,type&per-page=200",,,0,Locate publications or records by Prom,3,3,prom_canopy_anthracnose_2026,,2026-07-14T12:53:30-04:00,"OpenAlex listed the author under several profiles. Each profile was searched separately, and every returned title was reviewed."
prom_openalex_a5033681839_20260714,2026-07-14,Author publication review,OpenAlex,OpenAlex author profile A5033681839,"https://api.openalex.org/works?filter=authorships.author.id:A5033681839&select=id,doi,title,publication_year,type&per-page=200",,,0,Locate publications or records by Prom,1,1,,,2026-07-14T12:53:30-04:00,"OpenAlex listed the author under several profiles. Each profile was searched separately, and every returned title was reviewed."
direct_check_usda_panel_a_record_20260714,2026-07-14,Direct source check,Public repository record,USDA Ag Data Commons record 25707396 and published file 45921822,https://agdatacommons.nal.usda.gov/articles/dataset/25707396,panelA_pr_multidisease,,0,Locate publications or records by Prom,1,1,panelA_pr_multidisease,,2026-07-14T12:53:30-04:00,Direct inspection covered one previously identified public source. Table S4 gives its public location and checksum.
direct_check_usda_panel_b_record_20260714,2026-07-14,Direct source check,Public repository record,USDA Ag Data Commons record 25843822 and published file 46382200,https://agdatacommons.nal.usda.gov/articles/dataset/25843822,panelB_wa_leafblight,,0,Locate publications or records by Prom,1,1,panelB_wa_leafblight,,2026-07-14T12:53:30-04:00,Direct inspection covered one previously identified public source. Table S4 gives its public location and checksum.
direct_check_usda_pathotype_record_20260714,2026-07-14,Direct source check,Public repository record,USDA Ag Data Commons record 25988122 and published file 46880146,https://agdatacommons.nal.usda.gov/articles/dataset/25988122,anthracnose_pathotype_differentials,,0,Locate publications or records by Prom,1,1,anthracnose_pathotype_differentials,,2026-07-14T12:53:30-04:00,Direct inspection covered one previously identified public source. Table S4 gives its public location and checksum.
direct_check_purr_girma_record_20260714,2026-07-14,Direct source check,Public repository record,PURR publication 3189 version 1 and its archived data bundle,https://purr.purdue.edu/publications/3189/1,ref_girma_ethiopian_head_smut_2019,,0,Locate publications or records by Prom,1,1,ref_girma_ethiopian_head_smut_2019,,2026-07-14T12:53:30-04:00,Direct inspection covered one previously identified public source. Table S4 gives its public location and checksum.
direct_check_europepmc_adeyanju_supplement_20260714,2026-07-14,Direct source check,Public repository record,Europe PMC article PMC4478546 and its supplementary file archive,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4478546/supplementaryFiles,ref_adeyanju_stalk_rot_2015,,0,Locate publications or records by Prom,1,1,ref_adeyanju_stalk_rot_2015,,2026-07-14T12:53:30-04:00,Direct inspection covered one previously identified public source. Table S4 gives its public location and checksum.
