Citation relationship identifier,Search ID,Starting source identifier,Citing source identifier,Cited source identifier,Reference depth,Relationship,Reference locator,Reason for extended citation tracing,Recorded date,Notes
edge:prom_multitrait_reanalysis_2023:ref_koima_kenya_anthracnose_2023:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,ref_koima_kenya_anthracnose_2023,1,Citation to a disease-screening study,reference B2,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:ref_sharma_minicore_grain_mold_downy_mildew_2010:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,ref_sharma_minicore_grain_mold_downy_mildew_2010,1,Citation to a disease-screening study,reference B3,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:prom_head_smut_virulence_2011:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_head_smut_virulence_2011,1,Citation to a disease-screening study,reference B4,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:prom_senegal_head_smut_crops_2022:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_senegal_head_smut_crops_2022,1,Citation to a disease-screening study,reference B5,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:senegal_seedling_anthracnose:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,senegal_seedling_anthracnose,1,Citation to a disease-screening study,reference B10,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:prom_senegal_seedling_head_smut_p5_2022:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_senegal_seedling_head_smut_p5_2022,1,Citation to a disease-screening study,reference B11,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:prom_sap_grain_mold_texas_2020:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_sap_grain_mold_texas_2020,1,Citation to a disease-screening study,reference B12,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:prom_minicore_multidisease_2019:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_minicore_multidisease_2019,1,Citation to a disease-screening study,reference B13,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:prom_senegal_8leaf_anthracnose_2021:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_senegal_8leaf_anthracnose_2021,1,Citation to a disease-screening study,reference B14,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:prom_ethiopia_anthracnose_2019:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_ethiopia_anthracnose_2019,1,Citation to a disease-screening study,reference B15,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:prom_sap_anthracnose_2018:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_sap_anthracnose_2018,1,Citation to a disease-screening study,reference B16,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:prom_sap_grain_mold_snp_reanalysis_2021:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_sap_grain_mold_snp_reanalysis_2021,1,Citation to a disease-screening study,reference B17,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:ref_adeyanju_stalk_rot_2015:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,ref_adeyanju_stalk_rot_2015,1,Citation to a disease-screening study,reference B20,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:prom_sap_texas_anthracnose_2019:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,prom_sap_texas_anthracnose_2019,1,Citation to a disease-screening study,reference B28,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_multitrait_reanalysis_2023:ref_girma_ethiopian_head_smut_2019:disease_screen,reference_review_ahn2023_full_20260714,prom_multitrait_reanalysis_2023,prom_multitrait_reanalysis_2023,ref_girma_ethiopian_head_smut_2019,1,Citation to a disease-screening study,reference B40,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_senegal_anthracnose_ml_2025:senegal_seedling_anthracnose:disease_screen,reference_review_senegal_ml2025_full_20260714,prom_senegal_anthracnose_ml_2025,prom_senegal_anthracnose_ml_2025,senegal_seedling_anthracnose,1,Citation to a disease-screening study,reference CR1,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_senegal_anthracnose_ml_2025:prom_cultivar_isolate_anthracnose_2021:disease_screen,reference_review_senegal_ml2025_full_20260714,prom_senegal_anthracnose_ml_2025,prom_senegal_anthracnose_ml_2025,prom_cultivar_isolate_anthracnose_2021,1,Citation to a disease-screening study,reference CR2,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_senegal_anthracnose_ml_2025:prom_senegal_8leaf_anthracnose_2021:disease_screen,reference_review_senegal_ml2025_full_20260714,prom_senegal_anthracnose_ml_2025,prom_senegal_anthracnose_ml_2025,prom_senegal_8leaf_anthracnose_2021,1,Citation to a disease-screening study,reference CR4,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_senegal_anthracnose_ml_2025:prom_multitrait_reanalysis_2023:disease_screen,reference_review_senegal_ml2025_full_20260714,prom_senegal_anthracnose_ml_2025,prom_senegal_anthracnose_ml_2025,prom_multitrait_reanalysis_2023,1,Citation to a disease-screening study,reference CR5,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_senegal_anthracnose_ml_2025:ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024:disease_screen,reference_review_senegal_ml2025_full_20260714,prom_senegal_anthracnose_ml_2025,prom_senegal_anthracnose_ml_2025,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,1,Citation to a disease-screening study,reference CR9,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_senegal_anthracnose_ml_2025:prom_sap_anthracnose_2018:disease_screen,reference_review_senegal_ml2025_full_20260714,prom_senegal_anthracnose_ml_2025,prom_senegal_anthracnose_ml_2025,prom_sap_anthracnose_2018,1,Citation to a disease-screening study,reference CR20,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_senegal_anthracnose_ml_2025:ref_mekonen_ethiopia_anthracnose_pathotypes_2024:disease_screen,reference_review_senegal_ml2025_full_20260714,prom_senegal_anthracnose_ml_2025,prom_senegal_anthracnose_ml_2025,ref_mekonen_ethiopia_anthracnose_pathotypes_2024,1,Citation to a disease-screening study,reference CR43,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_senegal_anthracnose_ml_2025:ref_mengistu_ethiopia_anthracnose_2021:disease_screen,reference_review_senegal_ml2025_full_20260714,prom_senegal_anthracnose_ml_2025,prom_senegal_anthracnose_ml_2025,ref_mengistu_ethiopia_anthracnose_2021,1,Citation to a disease-screening study,reference CR44,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:prom_senegal_anthracnose_ml_2025:prom_sap_texas_anthracnose_2019:disease_screen,reference_review_senegal_ml2025_full_20260714,prom_senegal_anthracnose_ml_2025,prom_senegal_anthracnose_ml_2025,prom_sap_texas_anthracnose_2019,1,Citation to a disease-screening study,reference CR52,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:minicore_multidisease_reanalysis_2026:prom_minicore_multidisease_2019:disease_screen,reference_review_minicore_ml2026_full_20260714,minicore_multidisease_reanalysis_2026,minicore_multidisease_reanalysis_2026,prom_minicore_multidisease_2019,1,Citation to a disease-screening study,reference CR6,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:minicore_multidisease_reanalysis_2026:ref_radwan_downy_mildew_p6_2011:disease_screen,reference_review_minicore_ml2026_full_20260714,minicore_multidisease_reanalysis_2026,minicore_multidisease_reanalysis_2026,ref_radwan_downy_mildew_p6_2011,1,Citation to a disease-screening study,reference CR13,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
edge:minicore_multidisease_reanalysis_2026:ref_sharma_minicore_foliar_diseases_2012:disease_screen,reference_review_minicore_ml2026_full_20260714,minicore_multidisease_reanalysis_2026,minicore_multidisease_reanalysis_2026,ref_sharma_minicore_foliar_diseases_2012,1,Citation to a disease-screening study,reference CR31,,2026-07-14,This citation linked the starting publication to the listed sorghum disease report.
