Source file ID,Source identifier,Source dataset identifier,File role,Acquisition status,Publication or repository page,Download URL,Published filename,Archive format,Archive member path,Access date,Download byte size,Download SHA-256,Archive member byte size,Archive member SHA-256,Required for quantitative analysis,Location of rights information,Notes
adeyanju_stalk_rot_2015_genotype_list_pdf,ref_adeyanju_stalk_rot_2015,ref_adeyanju_stalk_rot_2015,Supporting metadata,Verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC4478546/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4478546/supplementaryFiles,PMC4478546_SupplementaryFiles.zip,Zip,Supp_g3.114.016394_TableS3.pdf,2026-07-14,4020514,dfa46bd7b7dbbf5d40d38cf7da18d4c7b59b554d13137b28901a7c85f09ce20b,125193,e7730d64c33194b71dd7c2918ab56d4a883ac067167d9bf3efa3f081a8488e6a,Supporting source,Https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4478546/fullTextXML,The recorded SHA-256 values identify both the downloaded archive and the source file used for this study.
adeyanju_stalk_rot_2015_least_square_means_csv,ref_adeyanju_stalk_rot_2015,ref_adeyanju_stalk_rot_2015,Phenotype data,Verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC4478546/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4478546/supplementaryFiles,PMC4478546_SupplementaryFiles.zip,Zip,Supp_g3.114.016394_FileS2.csv,2026-07-14,4020514,dfa46bd7b7dbbf5d40d38cf7da18d4c7b59b554d13137b28901a7c85f09ce20b,75559,d9ba37dffc1043a918ceb7bdf30ee117b046e9acafb2c818e69773fac7a0a6ef,Used in quantitative calculations,Https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4478546/fullTextXML,The recorded SHA-256 values identify both the downloaded archive and the source file used for this study.
adeyanju_stalk_rot_2015_raw_phenotypes_csv,ref_adeyanju_stalk_rot_2015,ref_adeyanju_stalk_rot_2015,Phenotype data,Verified,https://pmc.ncbi.nlm.nih.gov/articles/PMC4478546/,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4478546/supplementaryFiles,PMC4478546_SupplementaryFiles.zip,Zip,Supp_g3.114.016394_FileS1.csv,2026-07-14,4020514,dfa46bd7b7dbbf5d40d38cf7da18d4c7b59b554d13137b28901a7c85f09ce20b,419794,86fedbff04bbef656df2d8c7eed0d083b64105a1987dd637c17ff2aef852aa75,Supporting source,Https://www.ebi.ac.uk/europepmc/webservices/rest/PMC4478546/fullTextXML,The recorded SHA-256 values identify both the downloaded archive and the source file used for this study.
anthracnose_pathotype_differentials_2024_csv,anthracnose_pathotype_differentials,prom_anthracnose_pathotype_differentials_2023,Phenotype data,Verified,https://agdatacommons.nal.usda.gov/articles/dataset/25988122,https://ndownloader.figshare.com/files/46880146,Prom_Anthracnose_Diversity_Data_2024.csv,Single file,,2026-07-14,1730,34373ab838c0616d1decc03c6a755f332757f75bd5ecf480f481788e26cf06d4,,,Used in quantitative calculations,Https://agdatacommons.nal.usda.gov/articles/dataset/25988122,The recorded SHA-256 identifies the source file used for this study.
aragaw_terefe_eastern_ethiopia_anthracnose_2024_xml,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,ref_aragaw_terefe_eastern_ethiopia_anthracnose_2024,Phenotype data,Verified,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316016,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0316016&type=manuscript,pone.0316016.xml,Single file,,2026-07-14,127959,6b0c225c76a6a522d3650841d10f2de39507fd965923bee1faa46f9f67f876d9,,,Used in quantitative calculations,Https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0316016,The recorded SHA-256 identifies the source file used for this study.
ethiopian_anthracnose_2019_xlsx,prom_ethiopia_anthracnose_2019,prom_ethiopia_anthracnose_2019,Phenotype data,Verified,https://gsajournals.figshare.com/articles/dataset/Supplemental_Material_for_Cuevas_Prom_and_Cruet-Burgos_2019/8127200,https://ndownloader.figshare.com/files/15147788,Supplementary Tables 4-29-2019.xlsx,Single file,,2026-07-14,47168,11fc04de1471da36a0a6b9356087def67fe3943abd2e212c55d7c7d7977c0684,,,Used in quantitative calculations,Https://gsajournals.figshare.com/articles/dataset/Supplemental_Material_for_Cuevas_Prom_and_Cruet-Burgos_2019/8127200,The recorded SHA-256 identifies the source file used for this study.
ethiopian_anthracnose_2024_xlsx,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,Phenotype data,Verified,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10545-2,https://static-content.springer.com/esm/art%3A10.1186%2Fs12864-024-10545-2/MediaObjects/12864_2024_10545_MOESM1_ESM.xlsx,12864_2024_10545_MOESM1_ESM.xlsx,Single file,,2026-07-14,30188,486997e433ddbd24ef30c9c8da18bd5572350bdb558f9a44d6ca278f2612f67f,,,Used in quantitative calculations,Https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10545-2,The recorded SHA-256 identifies the source file used for this study.
ethiopian_grain_mold_2024_xlsx,prom_ethiopia_grain_mold_2024,prom_ethiopia_grain_mold_2024,Phenotype data,Verified,https://www.cambridge.org/core/journals/plant-genetic-resources/article/association-analysis-of-grain-mould-resistance-in-a-core-collection-of-npgs-ethiopian-sorghum-germplasm/A26623540E4557FD66683B493B89DDA7,https://static.cambridge.org/content/id/urn%3Acambridge.org%3Aid%3Aarticle%3AS1479262124000157/resource/name/S1479262124000157sup001.xlsx,S1479262124000157sup001.xlsx,Single file,,2026-07-14,29586,3de417260de20476de432f9a95e194fc16eaebf9bd13a69189952a49b83941ce,,,Used in quantitative calculations,Https://www.cambridge.org/core/journals/plant-genetic-resources/article/association-analysis-of-grain-mould-resistance-in-a-core-collection-of-npgs-ethiopian-sorghum-germplasm/A26623540E4557FD66683B493B89DDA7,The recorded SHA-256 identifies the source file used for this study.
gaffoor_2021_pennsylvania_anthracnose_pdf,ref_gaffoor_pennsylvania_anthracnose_2021,ref_gaffoor_pennsylvania_anthracnose_2021,Phenotype data,Verified,https://oar.icrisat.org/13037/,https://oar.icrisat.org/13037/,gaffoor_2021_pennsylvania_anthracnose_10.1002_csc2.20486.pdf,Single file,,2026-07-14,3105246,3babc7aa4e67f8237d8c93c2b8515fb202925f4b9bf1ef732c9384294ad62fcc,,,Used in quantitative calculations,Https://oar.icrisat.org/13037/,"The recorded SHA-256 identifies the public source examined for quantitative tables and literature coverage. Rights information: The PDF carries the 2021 author and Crop Science Society of America copyright notice; ICRISAT provides public read access, and redistribution follows the publisher terms."
girma_ethiopian_head_smut_2019_phenotype_xlsx,ref_girma_ethiopian_head_smut_2019,ref_girma_ethiopian_head_smut_2019,Phenotype data,Verified,https://purr.purdue.edu/publications/3189/1,https://purr.purdue.edu/publications/3189/serve/1?render=archive,10_4231_PYQV-AT79.zip,Zip,10_4231_PYQV-AT79/bundle.zip::www/purr/app/site/publications/03189/02256/bp2bthe5jh/Girma et al_PhenotypeData.xlsx,2026-07-14,449963724,6e2c5fd4126a691ffb85b83f7c07583a50e7e371aee68d15a5eb33736f210e84,213063,0fb495bebc851ea03e9679204b8b0499aa46154264ee326062cb6c48e48d08d6,Used in quantitative calculations,Https://purr.purdue.edu/publications/3189/1,The recorded SHA-256 values identify both the downloaded archive and the source file used for this study.
