Measurement group identifier,Source identifier,Dataset identifier,Study identifier,Source file identifier,Disease or diseases,Source table or sheet,Measurements represented,Independent screen identifier,Relationship to other reports,Original measurement group identifier,Source link,Scientific basis for grouping
lineage:anthracnose_pathotype_differentials:all,anthracnose_pathotype_differentials,prom_anthracnose_pathotype_differentials_2023,prom_anthracnose_pathotype_differentials_2023,anthracnose_pathotype_differentials_2024_csv,Anthracnose pathotype,Prom_Anthracnose_Diversity_Data_2024.csv,Public isolate-by-differential CSV available,experiment:anthracnose_pathotype_differentials,Original report of these measurements,,https://agdatacommons.nal.usda.gov/articles/dataset/25988122,Distinct isolate-virulence experiment used for pathogen context; candidate identification uses germplasm panels
lineage:ethiopian_field_anthracnose_multisite:all,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_anthracnose_2024_xlsx,Anthracnose,Supplementary Material 1.xlsx,Complete public accession-by-location combined dough-stage table,experiment:ethiopian_field_anthracnose_multisite,Original report of these measurements,,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10545-2,Distinct Ethiopian multi-location experiment
lineage:minicore_multidisease_reanalysis_2026:anthracnose,minicore_multidisease_reanalysis_2026,,,,Anthracnose,12870_2026_8468_MOESM2_ESM.xlsx,2019 mini-core anthracnose measurements used in the reanalysis,experiment:minicore_anthracnose_2007_2008,Measurements also reported in an earlier source,lineage:ref_prom_anthracnose_screening_method_2009:all,https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-026-08468-z,Reuses 2019 mini-core phenotypes; the added Senegal set contributes germplasm context
lineage:minicore_multidisease_reanalysis_2026:downy_mildew,minicore_multidisease_reanalysis_2026,,,,Downy mildew,12870_2026_8468_MOESM2_ESM.xlsx,2019 mini-core downy-mildew measurements used in the reanalysis,experiment:minicore_downy_mildew_p6,Measurements also reported in an earlier source,lineage:ref_radwan_downy_mildew_p6_2011:all,https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-026-08468-z,Reuses 2019 mini-core phenotypes; the added Senegal set contributes germplasm context
lineage:minicore_multidisease_reanalysis_2026:head_smut,minicore_multidisease_reanalysis_2026,,,,Head smut,12870_2026_8468_MOESM2_ESM.xlsx,2019 mini-core head-smut measurements used in the reanalysis,experiment:minicore_head_smut_2011,Measurements also reported in an earlier source,lineage:prom_minicore_multidisease_2019:head_smut,https://bmcplantbiol.biomedcentral.com/articles/10.1186/s12870-026-08468-z,Reuses 2019 mini-core phenotypes; the added Senegal set contributes germplasm context
lineage:panelA_pr_multidisease:all,panelA_pr_multidisease,panelA_pr_multidisease,panelA_pr_2017_2018,panelA_pr_multidisease_public_csv,Anthracnose; Grain mold; rust,Prom_LK_Data_2017_2018_Diseaase_traits.csv,"Accession-level anthracnose, grain-mold, and rust measurements from Puerto Rico in 2017 and 2018",experiment:panelA_pr_multidisease,Original report of these measurements,,https://agdatacommons.nal.usda.gov/articles/dataset/25707396,Original 2017-2018 Puerto Rico phenotype experiment; 2024 correlation paper reuses these disease values
lineage:panelB_wa_leafblight:all,panelB_wa_leafblight,panelB_wa_leafblight,panelB_senegal_2022,panelB_wa_leafblight_public_csv,Leaf blight,Prom_GWAS_Leaf_Blight_2022.csv,Accession-level leaf-blight measurements from Washington State,experiment:panelB_wa_leafblight,Original report of these measurements,,https://agdatacommons.nal.usda.gov/articles/dataset/25843822,Original leaf-blight experiment; the 2026 machine-learning paper reports the same measurements and is grouped with this study
lineage:prom_accession_anthracnose_grain_mold_2020:all,prom_accession_anthracnose_grain_mold_2020,prom_accession_anthracnose_grain_mold_2020,prom_accession_anthracnose_grain_mold_2020,prom_accession_anthracnose_grain_mold_2020_pdf,Anthracnose; Grain mold,main article Tables 1-2; complete accession screen and nested two-accession treatment subset,214 observations reported across endpoints and environments,experiment:prom_accession_anthracnose_grain_mold_texas_2010_2015,Original report of these measurements,,https://doi.org/10.9734/JEAI/2020/v42i130453,Table 1 contains the complete 47-accession screen plus controls. Table 2 presents a two-accession treatment subset from the same experiment. Anthracnose years are reported at the experiment level.
lineage:prom_agronomic_grain_mold_senegal_2026:all,prom_agronomic_grain_mold_senegal_2026,prom_agronomic_grain_mold_senegal_2026,prom_agronomic_grain_mold_senegal_2026,prom_agronomic_grain_mold_senegal_2026_pdf,Grain mold,main article Table 2; pooled intact-panicle and threshed-grain mold cultivar means,48 observations reported across endpoints and environments,experiment:prom_senegal_grain_mold_2022_two_location_trial,Original report of these measurements,,https://doi.org/10.4236/ajps.2026.173020,"Both grain-mold endpoints and locations are components of one experiment. Table 2 provides the pooled cultivar means; site-specific and plot-level values were unavailable in the reviewed materials. The reported n=135 differs from the 144 planned plots."
lineage:prom_china_ergot_2008:all,prom_china_ergot_2008,prom_china_ergot_2008,prom_china_ergot_2008,prom_china_ergot_2008_pdf,Ergot,"main article Table 1; year-, day-after-inoculation-, and treatment-specific ergot severity",352 observations reported across endpoints and environments,experiment:prom_chinese_shared_panel_college_station_2005_2006_screening_program,Original report of these measurements,,https://doi.org/10.1094/PHP-2008-0519-01-RS,"The 2007 and 2008 papers report the same 40 accessions screened at College Station in 2005. Two printed IS8525J values remain blank, and the results describe the preselected panel."
