Dataset identifier,Source identifier,Study identifier,Independent screen identifier,Data source,Observations (n),Accessions or lines assessed (n),Diseases (n),Endpoints (n),Environments (n),Study roles,Pareto analysis identifier,Candidate criteria applied (n),Candidates (n),Role in the analysis
ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,experiment:ethiopian_field_anthracnose_multisite,Publicly available study source,1432,358,1,1,4,Genotype; Susceptible check,pareto_ethiopian_field_anthracnose_locations,1,53,Candidate criterion applied
panelA_pr_multidisease,panelA_pr_multidisease,panelA_pr_2017_2018,experiment:panelA_pr_multidisease,Cited publication and associated public data file,2743,199,3,3,1,Reference check; Test accession,pareto_panelA_three_diseases,5,87,Candidate criterion applied
panelB_wa_leafblight,panelB_wa_leafblight,panelB_senegal_2022,experiment:panelB_wa_leafblight,Cited publication and associated public data file,2678,104,1,2,1,Reference check; Test accession,pareto_panelB_leaf_blight_endpoints,1,10,Candidate criterion applied
prom_accession_anthracnose_grain_mold_2020,prom_accession_anthracnose_grain_mold_2020,prom_accession_anthracnose_grain_mold_2020,experiment:prom_accession_anthracnose_grain_mold_texas_2010_2015,Publicly available study source,214,49,2,7,5,Accession; Two-accession treatment subset selected by outcome; Resistant control; Susceptible control,pareto_accession_anthracnose_grain_mold_2020,2,13,Candidate criterion applied
prom_agronomic_grain_mold_senegal_2026,prom_agronomic_grain_mold_senegal_2026,prom_agronomic_grain_mold_senegal_2026,experiment:prom_senegal_grain_mold_2022_two_location_trial,Publicly available study source,48,24,1,2,1,Cultivar or line,pareto_prom_2026_grain_mold_panicle_and_threshed,1,2,Candidates reported from pooled means at two locations
prom_anthracnose_pathotype_differentials_2023,anthracnose_pathotype_differentials,prom_anthracnose_pathotype_differentials_2023,experiment:anthracnose_pathotype_differentials,Publicly available study source,540,18,1,1,30,Differential line,,0,0,Pathogen differential study
prom_china_ergot_2008,prom_china_ergot_2008,prom_china_ergot_2008,experiment:prom_chinese_shared_panel_college_station_2005_2006_screening_program,Publicly available study source,352,44,1,1,8,Chinese accession; Resistant control; Susceptible control,pareto_china_ergot_final_inoculated_years,1,4,Candidate criterion applied
prom_chinese_downy_anthracnose_2007,prom_chinese_downy_anthracnose_2007,prom_chinese_downy_anthracnose_2007,experiment:prom_chinese_shared_panel_college_station_2005_2006_screening_program,Publicly available study source,80,40,2,2,1,Accession,,2,13,Candidate criterion applied
prom_converted_lines_anthracnose_downy_2016,prom_converted_lines_anthracnose_downy_2016,prom_converted_lines_anthracnose_downy_2016,experiment:prom_converted_panel_texas_2008_2009,Publicly available study source,260,65,2,3,3,Check; Converted line,,2,21,Candidate criterion applied
prom_converted_lines_grain_biodeterioration_2016,prom_converted_lines_grain_biodeterioration_2016,prom_converted_lines_grain_biodeterioration_2016,experiment:prom_converted_panel_texas_2008_2009,Publicly available study source,195,65,1,3,1,Resistant check; Sorghum converted line; Susceptible check,pareto_converted_lines_2016_grain_mold_measurements,1,4,Candidate criterion applied
prom_differentials_other_diseases_niger_2020,prom_differentials_other_diseases_niger_2020,prom_differentials_other_diseases_niger_2020,experiment:prom_niger_differentials_other_diseases_2018,Publicly available study source,249,21,8,1,2,Anthracnose differential line; Anthracnose resistant check differential; Anthracnose susceptible check,,0,0,Descriptive results
prom_ergot_severity_mexico_us_2008,prom_ergot_severity_mexico_us_2008,prom_ergot_severity_mexico_us_2008,experiment:mexico_us_ergot_three_location_2002_2003,Publicly available study source,36,9,1,1,4,Hybrid; Male sterile A line,pareto_mexico_us_ergot_locations,0,0,Descriptive results
prom_ethiopia_anthracnose_2019,prom_ethiopia_anthracnose_2019,prom_ethiopia_anthracnose_2019,experiment:prom_ethiopia_anthracnose_2019,Publicly available study source,1670,334,1,2,5,Accession,pareto_ethiopia_anthracnose_locations,1,25,Candidate criterion applied
prom_ethiopia_anthracnose_subset_2022,prom_ethiopia_anthracnose_subset_2022,prom_ethiopia_anthracnose_subset_2022,experiment:prom_ethiopia_subset_isabela_2019_2020,Publicly available study source,388,97,1,2,2,Accession; Accession with a printed label discrepancy; Resistant check; Susceptible check,pareto_ethiopia_subset_2022_anthracnose_years,1,29,Candidate criterion applied
prom_ethiopia_anthracnose_weather_2010,prom_ethiopia_anthracnose_weather_2010,prom_ethiopia_anthracnose_weather_2010,experiment:ethiopia_anthracnose_southern_ethiopia_2007_2008,Publicly available study source,48,4,1,4,3,Local susceptible check; Resistant line; Universally susceptible cultivar,,0,0,Descriptive results
prom_ethiopia_grain_mold_2024,prom_ethiopia_grain_mold_2024,prom_ethiopia_grain_mold_2024,experiment:prom_ethiopia_grain_mold_2024,Publicly available study source,1650,330,1,5,1,Accession,pareto_ethiopia_grain_mold_endpoints,0,0,Descriptive results
prom_ethiopia_mali_fusarium_2013,prom_ethiopia_mali_fusarium_2013,prom_ethiopia_mali_fusarium_2013,experiment:prom_fusarium_grain_mold_panels_isabela_2006,Publicly available study source,168,42,1,4,1,Accession; Resistant control; Susceptible control,pareto_ethiopia_mali_2013_grain_mold_measurements,1,8,Candidate criterion applied
prom_excised_leaf_screen_2015,prom_excised_leaf_screen_2015,prom_excised_leaf_screen_2015,experiment:prom_excised_leaf_method_comparison_2015,Publicly available study source,48,16,1,3,2,Line; Resistant check; Susceptible check,,2,0,Candidate criterion applied
prom_four_country_anthracnose_2012,prom_four_country_anthracnose_2012,prom_four_country_anthracnose_2012,experiment:prom_four_country_anthracnose_2007_2008_pr,Publicly available study source,370,74,1,2,4,Accession; Resistant control; Susceptible control,pareto_four_country_2012_anthracnose_environments,1,22,Candidate criterion applied
prom_grain_mold_differentials_pr_2023,prom_grain_mold_differentials_pr_2023,prom_grain_mold_differentials_pr_2023,experiment:prom_grain_mold_differentials_pr_2019_2020,Publicly available study source,69,23,1,3,1,Anthracnose or head smut differential line,,0,0,Descriptive results
