Independent screen identifier,Type of candidate criterion,Dataset identifiers,Study identifiers,Study roles,Source criterion identifiers,Responses covered by the criterion,Candidate criteria (n),Accessions or lines assessed (n),Candidates (n),Candidates among those assessed (proportion)
experiment:barbosa_sete_lagoas_two_nursery_downy_mildew,Complete set of criteria used in the primary analysis,ref_barbosa_brazil_downy_mildew_2004,ref_barbosa_brazil_downy_mildew_2004,Screened genotype,source_reported_article_conclusion; source_supported_location_resistance_rule,Criterion combines multiple environments,2,2,1,0.5
experiment:barbosa_sete_lagoas_two_nursery_downy_mildew,Criterion reported or supported by the source,ref_barbosa_brazil_downy_mildew_2004,ref_barbosa_brazil_downy_mildew_2004,Screened genotype,source_reported_article_conclusion,Criterion combines multiple environments,1,2,0,0
experiment:barbosa_sete_lagoas_two_nursery_downy_mildew,Criterion reconstructed from a source-defined threshold,ref_barbosa_brazil_downy_mildew_2004,ref_barbosa_brazil_downy_mildew_2004,Screened genotype,source_supported_location_resistance_rule,Criterion combines multiple environments,1,2,1,0.5
experiment:erpelding_isabela_anthracnose_2007_2008_campaign,Complete set of criteria used in the primary analysis,ref_erpelding_botswana_anthracnose_2011; ref_erpelding_burundi_anthracnose_2010,ref_erpelding_botswana_anthracnose_2011; ref_erpelding_burundi_anthracnose_2010,Accession,source_supported_location_resistance_rule,Criterion combines multiple environments,2,294,135,0.4591836734693877
experiment:erpelding_isabela_anthracnose_2007_2008_campaign,Criterion reconstructed from a source-defined threshold,ref_erpelding_botswana_anthracnose_2011; ref_erpelding_burundi_anthracnose_2010,ref_erpelding_botswana_anthracnose_2011; ref_erpelding_burundi_anthracnose_2010,Accession,source_supported_location_resistance_rule,Criterion combines multiple environments,2,294,135,0.4591836734693877
experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,Complete set of criteria used in the primary analysis,ref_erpelding_mopti_anthracnose_2010; ref_erpelding_sikasso_mali_anthracnose_2008,ref_erpelding_mopti_anthracnose_2010; ref_erpelding_sikasso_mali_anthracnose_2008,Accession,source_supported_location_resistance_rule,Criterion combines multiple environments,2,229,154,0.6724890829694323
experiment:erpelding_isabela_mali_anthracnose_2004_2005_campaign,Criterion reconstructed from a source-defined threshold,ref_erpelding_mopti_anthracnose_2010; ref_erpelding_sikasso_mali_anthracnose_2008,ref_erpelding_mopti_anthracnose_2010; ref_erpelding_sikasso_mali_anthracnose_2008,Accession,source_supported_location_resistance_rule,Criterion combines multiple environments,2,229,154,0.6724890829694323
experiment:ethiopian_field_anthracnose_multisite,Complete set of criteria used in the primary analysis,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,Genotype,source_supported_location_resistance_rule,Criterion combines multiple environments,1,347,51,0.1469740634005763
experiment:ethiopian_field_anthracnose_multisite,Criterion reconstructed from a source-defined threshold,ethiopian_field_anthracnose_multisite,ethiopian_field_anthracnose_multisite,Genotype,source_supported_location_resistance_rule,Criterion combines multiple environments,1,347,51,0.1469740634005763
experiment:gaffoor_pennsylvania_anthracnose_selected_subset_2016,Complete set of criteria used in the primary analysis,ref_gaffoor_pennsylvania_anthracnose_2021,ref_gaffoor_pennsylvania_anthracnose_2021,Line selected for favorable disease response,source_reported_article_recommendation,Separate criterion for each disease,1,2,0,0
experiment:gaffoor_pennsylvania_anthracnose_selected_subset_2016,Criterion reported or supported by the source,ref_gaffoor_pennsylvania_anthracnose_2021,ref_gaffoor_pennsylvania_anthracnose_2021,Line selected for favorable disease response,source_reported_article_recommendation,Separate criterion for each disease,1,2,0,0
experiment:icrisat_patancheru_grain_mold_2006_2007,Complete set of criteria used in the primary analysis,ref_kumar_icrisat_grain_mold_hybrids_2008,ref_kumar_icrisat_grain_mold_hybrids_2008,R line parent,source_reported_article_recommendation,Separate criterion for each disease,2,1,1,1
experiment:icrisat_patancheru_grain_mold_2006_2007,Criterion reported or supported by the source,ref_kumar_icrisat_grain_mold_hybrids_2008,ref_kumar_icrisat_grain_mold_hybrids_2008,R line parent,source_reported_article_recommendation,Separate criterion for each disease,2,1,1,1
experiment:panelA_pr_multidisease,Complete set of criteria used in the primary analysis,panelA_pr_multidisease,panelA_pr_2017_2018,Test accession,existing_validated_primary; validated_prespecified_threshold,Separate criteria spanning multiple diseases,5,108,87,0.8055555555555556
experiment:panelA_pr_multidisease,Criterion validated in the source study,panelA_pr_multidisease,panelA_pr_2017_2018,Test accession,existing_validated_primary; validated_prespecified_threshold,Separate criteria spanning multiple diseases,5,108,87,0.8055555555555556
