source_registry_id,citation_key,full_citation,article_doi,repository_doi,landing_page_url,source_checksum_status,license_status,redistribution_status,license_evidence_locator
ethiopian_field_anthracnose_multisite,Birhanu et al. 2024,Birhanu et al. (2024). Exploring the genetic basis of anthracnose resistance in Ethiopian sorghum through a genome-wide association study. BMC Genomics 25:677. https://doi.org/10.1186/s12864-024-10545-2,10.1186/s12864-024-10545-2,,https://doi.org/10.1186/s12864-024-10545-2,verified,verified_cc_by_4_0,permitted,https://bmcgenomics.biomedcentral.com/articles/10.1186/s12864-024-10545-2
panelA_pr_multidisease,Prom et al. 2022,"Prom et al. (2022). Response of Sorghum Accessions from Three African Countries to Anthracnose, Grain Mould and Rust. Plant Pathology Journal 21:12-23. https://doi.org/10.3923/ppj.2022.12.23",10.3923/ppj.2022.12.23,10.15482/USDA.ADC/25707396.v1,https://doi.org/10.3923/ppj.2022.12.23,verified,verified_public_domain,permitted,https://agdatacommons.nal.usda.gov/articles/dataset/25707396
prom_accession_anthracnose_grain_mold_2020,Prom et al. 2020,Prom et al. (2020). Screening Sorghum Accessions for Resistance against Anthracnose and Grain Mold through Inoculating with Pathogens. Journal of Experimental Agriculture International 42:73-83. https://doi.org/10.9734/JEAI/2020/v42i130453,10.9734/JEAI/2020/v42i130453,,https://doi.org/10.9734/JEAI/2020/v42i130453,verified,verified_cc_by_4_0,permitted,https://doi.org/10.9734/JEAI/2020/v42i130453
prom_agronomic_grain_mold_senegal_2026,Prom et al. 2026,Prom et al. (2026). Agronomic Traits of Sorghum Cultivars from the US and Senegal and Their Response to Grain Mold Infection. American Journal of Plant Sciences 17:302-319. https://doi.org/10.4236/ajps.2026.173020,10.4236/ajps.2026.173020,,https://doi.org/10.4236/ajps.2026.173020,verified,verified_cc_by_4_0,permitted,https://doi.org/10.4236/ajps.2026.173020
prom_converted_lines_anthracnose_downy_2016,Prom et al. 2016,Prom et al. (2016). Assessing the Vulnerability of Sorghum Converted Lines to Anthracnose and Downy Mildew Infection. Journal of Agriculture and Crops 2:101-106. https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,,,https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm,verified,verified_cc_by_4_0,permitted,https://econpapers.repec.org/article/arpjacarp/2016_3ap_3a101-106.htm
prom_converted_lines_grain_biodeterioration_2016,Prom et al. 2017,Prom et al. (2017). Grain Biodeterioration of Sorghum Converted Lines Inoculated with a Mixture of Fusarium thapsinum and Curvularia lunata. Plant Pathology Journal 16:19-24. https://doi.org/10.3923/ppj.2017.19.24,10.3923/ppj.2017.19.24,,https://doi.org/10.3923/ppj.2017.19.24,verified,unresolved,unresolved,https://doi.org/10.3923/ppj.2017.19.24
prom_ethiopia_anthracnose_subset_2022,Prom et al. 2022,Prom et al. (2022). Evaluation of a Subset of Ethiopia Sorghum Collection Germplasm from the National Genetic Resources Program of the United States Department of Agriculture for Anthracnose Resistance. American Journal of Plant Sciences 13:1403-1411. https://doi.org/10.4236/ajps.2022.1312095,10.4236/ajps.2022.1312095,,https://doi.org/10.4236/ajps.2022.1312095,verified,verified_cc_by_4_0,permitted,https://doi.org/10.4236/ajps.2022.1312095
prom_ethiopia_mali_fusarium_2013,Prom and Erpelding 2013,Prom and Erpelding (2013). Evaluation of sorghum accessions from Ethiopia and Mali against Fusarium thapsinum. Journal of Tropical Agriculture 51:92-97. https://jtropag.kau.in/index.php/ojs2/article/view/286,,,https://jtropag.kau.in/index.php/ojs2/article/view/286,verified,unresolved,unresolved,https://jtropag.kau.in/index.php/ojs2/article/view/286
prom_four_country_anthracnose_2012,Prom et al. 2012,"Prom et al. (2012). Response of Sorghum Accessions from Four African Countries against Colletotrichum sublineolum, Causal Agent of Sorghum Anthracnose. American Journal of Plant Sciences 3:125-129. https://doi.org/10.4236/ajps.2012.31014",10.4236/ajps.2012.31014,,https://doi.org/10.4236/ajps.2012.31014,verified,verified_cc_by_4_0,permitted,https://www.scirp.org/journal/paperinformation?paperid=16653
prom_mali_anthracnose_2004,Erpelding and Prom 2004,Erpelding and Prom (2004). Evaluation of Malian Sorghum Germplasm for Resistance Against Anthracnose. Plant Pathology Journal 3:65-71. https://doi.org/10.3923/ppj.2004.65.71,10.3923/ppj.2004.65.71,,https://doi.org/10.3923/ppj.2004.65.71,verified,unresolved,unresolved,https://doi.org/10.3923/ppj.2004.65.71
prom_sap_grain_mold_texas_2020,Prom et al. 2020,"Prom et al. (2020). Genome-wide association study of grain mold resistance in sorghum association panel as affected by inoculation with Alternaria alternata alone and Alternaria alternata, Fusarium thapsinum, and Curvularia lunata combined. European Journal of Plant Pathology 157:783-798. https://doi.org/10.1007/s10658-020-02036-3",10.1007/s10658-020-02036-3,,https://doi.org/10.1007/s10658-020-02036-3,verified,unresolved,unresolved,https://link.springer.com/article/10.1007/s10658-020-02036-3
